Insurer,Race,Lowest,Middle low,Middle,Middle high,Highest
Allstate,Black,8.0,4.6,8.6,9.9,68.89999999999999
Allstate,White,20.8,14.4,16.3,20.1,28.3
Auto Club,Black,6.766,10.454,9.416,15.095,58.269000000000005
Auto Club,White,24.689,25.507,23.474,19.698,6.630999999999999
Citizens,Black,5.3,7.9,9.8,20.0,56.99999999999999
Citizens,White,24.8,23.9,23.4,20.9,7.000000000000001
Liberty Mutual,Black,11.0,3.0,9.0,1.0,76.0
Liberty Mutual,White,24.0,6.0,20.0,9.0,41.0
State Farm,Black,5.7,6.1,9.9,16.3,61.9
State Farm,White,25.3,23.4,21.8,20.6,8.9
