KEY,NAME,RENAME
GEO_ID,Geography,geo_id
NAME,Geographic Area Name,geo_name
DP05_0001E,Estimate!!SEX AND AGE!!Total population,total_pop
DP05_0004E,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),
DP05_0018E,Estimate!!SEX AND AGE!!Total population!!Median age (years),
DP05_0005PE,Percent!!SEX AND AGE!!Total population!!Under 5 years,
DP05_0006PE,Percent!!SEX AND AGE!!Total population!!5 to 9 years,
DP05_0007PE,Percent!!SEX AND AGE!!Total population!!10 to 14 years,
DP05_0008PE,Percent!!SEX AND AGE!!Total population!!15 to 19 years,
DP05_0009PE,Percent!!SEX AND AGE!!Total population!!20 to 24 years,
DP05_0010PE,Percent!!SEX AND AGE!!Total population!!25 to 34 years,
DP05_0011PE,Percent!!SEX AND AGE!!Total population!!35 to 44 years,
DP05_0012PE,Percent!!SEX AND AGE!!Total population!!45 to 54 years,
DP05_0013PE,Percent!!SEX AND AGE!!Total population!!55 to 59 years,
DP05_0014PE,Percent!!SEX AND AGE!!Total population!!60 to 64 years,
DP05_0015PE,Percent!!SEX AND AGE!!Total population!!65 to 74 years,
DP05_0016PE,Percent!!SEX AND AGE!!Total population!!75 to 84 years,
DP05_0017PE,Percent!!SEX AND AGE!!Total population!!85 years and over,
DP05_0005E,Estimate!!SEX AND AGE!!Total population!!Under 5 years,
DP05_0006E,Estimate!!SEX AND AGE!!Total population!!5 to 9 years,
DP05_0007E,Estimate!!SEX AND AGE!!Total population!!10 to 14 years,
DP05_0008E,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,
DP05_0009E,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,
DP05_0010E,Estimate!!SEX AND AGE!!Total population!!25 to 34 years,
DP05_0011E,Estimate!!SEX AND AGE!!Total population!!35 to 44 years,
DP05_0012E,Estimate!!SEX AND AGE!!Total population!!45 to 54 years,
DP05_0013E,Estimate!!SEX AND AGE!!Total population!!55 to 59 years,
DP05_0014E,Estimate!!SEX AND AGE!!Total population!!60 to 64 years,
DP05_0015E,Estimate!!SEX AND AGE!!Total population!!65 to 74 years,
DP05_0016E,Estimate!!SEX AND AGE!!Total population!!75 to 84 years,
DP05_0017E,Estimate!!SEX AND AGE!!Total population!!85 years and over,
DP05_0073PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),latin_pct
DP05_0079PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,white_pct
DP05_0080PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,black_pct
DP05_0081PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,aian_pct
DP05_0082PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,asian_pct
DP05_0083PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,nhpi_pct
DP05_0084PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone,other_pct
DP05_0085PE,Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,two_plus_pct
DP05_0072E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,total_pop_race
DP05_0073E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),latin_tot
DP05_0079E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,white_tot
DP05_0080E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,black_tot
DP05_0081E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,aian_tot
DP05_0082E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,asian_tot
DP05_0083E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,nhpi_tot
DP05_0084E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone,other_tot
DP05_0085E,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,two_plus_tot
