bg2010ge,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,other_tot_wt,latin_tot_wt,tot_pop_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,other_pct_wt,latin_pct_wt
260010001001,591.0,8.0,0.0,0.0,17.0,16.0,632.0,0.935,0.013,0.0,0.0,0.027,0.025
260010001002,959.0,0.0,0.0,0.0,0.0,19.0,978.0,0.981,0.0,0.0,0.0,0.0,0.019
260019701001,979.0,0.0,0.0,18.0,5.0,15.0,1017.0,0.963,0.0,0.0,0.018,0.005,0.015
260019701002,1284.0,9.0,11.0,2.0,0.0,51.0,1357.0,0.946,0.007,0.008,0.001,0.0,0.038
260019704001,1277.0,2.0,4.0,0.0,4.0,19.0,1306.0,0.978,0.002,0.003,0.0,0.003,0.015
260019704002,1384.0,18.0,13.0,0.0,0.0,12.0,1427.0,0.97,0.013,0.009,0.0,0.0,0.008
260019705001,632.0,3.0,1.0,10.0,0.0,20.0,666.0,0.949,0.005,0.002,0.015,0.0,0.03
260019705002,490.0,0.0,0.0,0.0,0.0,19.0,509.0,0.963,0.0,0.0,0.0,0.0,0.037
260019705003,785.0,0.0,0.0,2.0,0.0,2.0,789.0,0.995,0.0,0.0,0.003,0.0,0.003
260019706001,756.0,0.0,0.0,0.0,0.0,14.0,770.0,0.982,0.0,0.0,0.0,0.0,0.018
260019706002,466.0,4.0,2.0,0.0,0.0,2.0,474.0,0.983,0.008,0.004,0.0,0.0,0.004
260019900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260030001001,901.0,2.0,82.0,0.0,0.0,10.0,995.0,0.906,0.002,0.082,0.0,0.0,0.01
260030001002,1209.0,0.0,93.0,2.0,0.0,26.0,1330.0,0.909,0.0,0.07,0.002,0.0,0.02
260030001003,903.0,0.0,47.0,0.0,0.0,5.0,955.0,0.946,0.0,0.049,0.0,0.0,0.005
260030002001,999.0,4.0,4.0,0.0,1.0,83.0,1091.0,0.916,0.004,0.004,0.0,0.001,0.076
260030002002,926.0,14.0,39.0,2.0,5.0,23.0,1009.0,0.918,0.014,0.039,0.002,0.005,0.023
260030003001,1325.0,0.0,4.0,0.0,0.0,2.0,1331.0,0.995,0.0,0.003,0.0,0.0,0.002
260030003002,1004.0,671.0,14.0,66.0,0.0,26.0,1781.0,0.564,0.377,0.008,0.037,0.0,0.015
260039900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260050302001,2115.0,48.0,0.0,24.0,0.0,76.0,2263.0,0.935,0.021,0.0,0.011,0.0,0.034
260050302002,1189.0,0.0,0.0,10.0,0.0,33.0,1232.0,0.965,0.0,0.0,0.008,0.0,0.027
260050303001,1580.0,0.0,0.0,10.0,0.0,10.0,1600.0,0.988,0.0,0.0,0.006,0.0,0.006
260050303002,1391.0,20.0,0.0,0.0,0.0,44.0,1455.0,0.956,0.014,0.0,0.0,0.0,0.03
260050303003,2866.0,1.0,0.0,0.0,20.0,0.0,2887.0,0.993,0.0,0.0,0.0,0.007,0.0
260050303004,2055.0,0.0,0.0,0.0,0.0,26.0,2081.0,0.988,0.0,0.0,0.0,0.0,0.012
260050304011,3095.0,0.0,0.0,0.0,0.0,33.0,3128.0,0.989,0.0,0.0,0.0,0.0,0.011
260050304012,2884.0,0.0,0.0,96.0,25.0,148.0,3153.0,0.915,0.0,0.0,0.03,0.008,0.047
260050304013,1403.0,0.0,0.0,0.0,0.0,16.0,1419.0,0.989,0.0,0.0,0.0,0.0,0.011
260050304021,2366.0,42.0,0.0,0.0,0.0,126.0,2534.0,0.934,0.017,0.0,0.0,0.0,0.05
260050304022,3063.0,0.0,0.0,94.0,0.0,43.0,3200.0,0.957,0.0,0.0,0.029,0.0,0.013
260050304023,780.0,0.0,22.0,0.0,0.0,7.0,809.0,0.964,0.0,0.027,0.0,0.0,0.009
260050305001,1938.0,68.0,0.0,57.0,0.0,6.0,2069.0,0.937,0.033,0.0,0.028,0.0,0.003
260050305002,2391.0,154.0,0.0,0.0,0.0,171.0,2716.0,0.88,0.057,0.0,0.0,0.0,0.063
260050305003,1504.0,0.0,0.0,16.0,8.0,82.0,1610.0,0.934,0.0,0.0,0.01,0.005,0.051
260050305004,1224.0,0.0,4.0,0.0,0.0,201.0,1429.0,0.857,0.0,0.003,0.0,0.0,0.141
260050306001,1861.0,14.0,1.0,0.0,2.0,131.0,2009.0,0.926,0.007,0.0,0.0,0.001,0.065
260050306002,1757.0,32.0,12.0,6.0,7.0,6.0,1820.0,0.965,0.018,0.007,0.003,0.004,0.003
260050306003,999.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,0.0,0.0,0.0,0.0,0.0
260050307021,2793.0,19.0,0.0,21.0,0.0,63.0,2896.0,0.964,0.007,0.0,0.007,0.0,0.022
260050307022,2076.0,9.0,0.0,5.0,0.0,99.0,2189.0,0.948,0.004,0.0,0.002,0.0,0.045
260050307031,1122.0,11.0,0.0,0.0,0.0,693.0,1826.0,0.614,0.006,0.0,0.0,0.0,0.38
260050307032,986.0,16.0,1.0,0.0,4.0,163.0,1170.0,0.843,0.014,0.001,0.0,0.003,0.139
260050307041,1957.0,22.0,0.0,16.0,0.0,697.0,2692.0,0.727,0.008,0.0,0.006,0.0,0.259
260050307042,2138.0,0.0,2.0,0.0,20.0,124.0,2284.0,0.936,0.0,0.001,0.0,0.009,0.054
260050308001,1456.0,25.0,0.0,12.0,0.0,74.0,1567.0,0.929,0.016,0.0,0.008,0.0,0.047
260050308002,1380.0,0.0,2.0,6.0,0.0,264.0,1652.0,0.835,0.0,0.001,0.004,0.0,0.16
260050308003,767.0,2.0,1.0,0.0,3.0,8.0,781.0,0.982,0.003,0.001,0.0,0.004,0.01
260050308004,1090.0,0.0,2.0,16.0,0.0,56.0,1164.0,0.936,0.0,0.002,0.014,0.0,0.048
260050309011,686.0,0.0,2.0,0.0,0.0,187.0,875.0,0.784,0.0,0.002,0.0,0.0,0.214
260050309012,1045.0,20.0,0.0,0.0,0.0,36.0,1101.0,0.949,0.018,0.0,0.0,0.0,0.033
260050309013,528.0,0.0,52.0,0.0,0.0,206.0,786.0,0.672,0.0,0.066,0.0,0.0,0.262
260050309021,790.0,7.0,0.0,9.0,1.0,116.0,923.0,0.856,0.008,0.0,0.01,0.001,0.126
260050309022,1309.0,4.0,0.0,10.0,0.0,226.0,1549.0,0.845,0.003,0.0,0.006,0.0,0.146
260050310001,1111.0,0.0,1.0,0.0,0.0,426.0,1538.0,0.722,0.0,0.001,0.0,0.0,0.277
260050310002,544.0,2.0,49.0,0.0,0.0,875.0,1470.0,0.37,0.001,0.033,0.0,0.0,0.595
260050310003,745.0,0.0,0.0,0.0,0.0,174.0,919.0,0.811,0.0,0.0,0.0,0.0,0.189
260050310004,783.0,54.0,10.0,0.0,0.0,0.0,847.0,0.924,0.064,0.012,0.0,0.0,0.0
260050310005,1042.0,16.0,0.0,0.0,0.0,48.0,1106.0,0.942,0.014,0.0,0.0,0.0,0.043
260050311001,749.0,15.0,15.0,0.0,0.0,71.0,850.0,0.881,0.018,0.018,0.0,0.0,0.084
