geo_id,geo_name,tot_pop,white_tot,black_tot,aian_tot,asian_tot,nhopi_tot,other_tot,two_more_tot,latin_tot,median_income
1500000US260010001001,Block Group 1; Census Tract 1; Alcona County; Michigan,666,591,8,0,0,0,17,34,16,60565
1500000US260010001002,Block Group 2; Census Tract 1; Alcona County; Michigan,1032,988,0,0,0,0,0,24,20,66429
1500000US260019701001,Block Group 1; Census Tract 9701; Alcona County; Michigan,997,950,0,0,18,0,5,10,14,52308
1500000US260019701002,Block Group 2; Census Tract 9701; Alcona County; Michigan,1409,1284,9,11,2,0,0,52,51,50417
1500000US260019704001,Block Group 1; Census Tract 9704; Alcona County; Michigan,1338,1277,2,4,0,0,4,32,19,47557
1500000US260019704002,Block Group 2; Census Tract 9704; Alcona County; Michigan,1451,1384,18,13,0,2,0,22,12,49957
1500000US260019705001,Block Group 1; Census Tract 9705; Alcona County; Michigan,692,632,3,1,10,0,0,26,20,40179
1500000US260019705002,Block Group 2; Census Tract 9705; Alcona County; Michigan,559,490,0,0,0,0,0,50,19,66827
1500000US260019705003,Block Group 3; Census Tract 9705; Alcona County; Michigan,806,785,0,0,2,0,0,17,2,32639
1500000US260019706001,Block Group 1; Census Tract 9706; Alcona County; Michigan,778,756,0,0,0,0,0,8,14,68214
1500000US260019706002,Block Group 2; Census Tract 9706; Alcona County; Michigan,510,466,4,2,0,0,0,36,2,40500
1500000US260019900000,Block Group 0; Census Tract 9900; Alcona County; Michigan,0,0,0,0,0,0,0,0,0,-
1500000US260030001001,Block Group 1; Census Tract 1; Alger County; Michigan,1037,901,2,82,0,0,0,42,10,53088
1500000US260030001002,Block Group 2; Census Tract 1; Alger County; Michigan,1360,1209,0,93,2,0,0,30,26,53594
1500000US260030001003,Block Group 3; Census Tract 1; Alger County; Michigan,1076,903,0,47,0,0,0,121,5,51667
1500000US260030002001,Block Group 1; Census Tract 2; Alger County; Michigan,1159,999,4,4,0,0,1,68,83,59100
1500000US260030002002,Block Group 2; Census Tract 2; Alger County; Michigan,1044,926,14,39,2,0,5,35,23,57308
1500000US260030003001,Block Group 1; Census Tract 3; Alger County; Michigan,1354,1324,0,4,0,0,0,24,2,59946
1500000US260030003002,Block Group 2; Census Tract 3; Alger County; Michigan,1836,1004,671,14,66,0,0,55,26,52625
1500000US260039900000,Block Group 0; Census Tract 9900; Alger County; Michigan,0,0,0,0,0,0,0,0,0,-
1500000US260050302001,Block Group 1; Census Tract 302; Allegan County; Michigan,1243,1189,0,0,10,0,0,11,33,96593
1500000US260050302002,Block Group 2; Census Tract 302; Allegan County; Michigan,1213,1103,35,0,24,0,0,0,51,83274
1500000US260050302003,Block Group 3; Census Tract 302; Allegan County; Michigan,1050,1012,13,0,0,0,0,0,25,98594
1500000US260050303011,Block Group 1; Census Tract 303.01; Allegan County; Michigan,1641,1580,0,0,10,0,0,41,10,82250
1500000US260050303012,Block Group 2; Census Tract 303.01; Allegan County; Michigan,1462,1391,20,0,0,0,0,7,44,107679
1500000US260050303021,Block Group 1; Census Tract 303.02; Allegan County; Michigan,3023,2866,1,0,0,0,20,136,0,81176
1500000US260050303022,Block Group 2; Census Tract 303.02; Allegan County; Michigan,2081,2055,0,0,0,0,0,0,26,100750
