tr2010ge,tot_pop_wt,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,nhopi_tot_wt,other_tot_wt,two_more_tot_wt,latin_tot_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,nhopi_pct_wt,other_pct_wt,two_more_pct_wt,latin_pct_wt
26001000100,1667.0,1550.0,8.0,0.0,0.0,0.0,17.0,57.0,35.0,0.93,0.005,0.0,0.0,0.0,0.01,0.034,0.021
26001970100,2437.0,2263.0,9.0,11.0,20.0,0.0,5.0,63.0,66.0,0.929,0.004,0.005,0.008,0.0,0.002,0.026,0.027
26001970400,2789.0,2661.0,20.0,17.0,0.0,2.0,4.0,54.0,31.0,0.954,0.007,0.006,0.0,0.001,0.001,0.019,0.011
26001970500,2057.0,1907.0,3.0,1.0,12.0,0.0,0.0,93.0,41.0,0.927,0.001,0.0,0.006,0.0,0.0,0.045,0.02
26001970600,1288.0,1222.0,4.0,2.0,0.0,0.0,0.0,44.0,16.0,0.949,0.003,0.002,0.0,0.0,0.0,0.034,0.012
26001990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26003000100,3473.0,3013.0,2.0,222.0,2.0,0.0,0.0,193.0,41.0,0.868,0.001,0.064,0.001,0.0,0.0,0.056,0.012
26003000200,2203.0,1925.0,18.0,43.0,2.0,0.0,6.0,103.0,106.0,0.874,0.008,0.02,0.001,0.0,0.003,0.047,0.048
26003000300,3191.0,2329.0,671.0,18.0,66.0,0.0,0.0,79.0,28.0,0.73,0.21,0.006,0.021,0.0,0.0,0.025,0.009
26003990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26005030200,3506.0,3304.0,48.0,0.0,34.0,0.0,0.0,11.0,109.0,0.942,0.014,0.0,0.01,0.0,0.0,0.003,0.031
26005030300,8207.0,7892.0,21.0,0.0,10.0,0.0,20.0,184.0,80.0,0.962,0.003,0.0,0.001,0.0,0.002,0.022,0.01
26005030401,7893.0,7382.0,0.0,0.0,96.0,0.0,25.0,193.0,197.0,0.935,0.0,0.0,0.012,0.0,0.003,0.024,0.025
26005030402,6786.0,6209.0,42.0,22.0,94.0,0.0,0.0,243.0,176.0,0.915,0.006,0.003,0.014,0.0,0.0,0.036,0.026
26005030500,8114.0,7057.0,222.0,4.0,73.0,0.0,8.0,290.0,460.0,0.87,0.027,0.0,0.009,0.0,0.001,0.036,0.057
26005030600,5086.0,4617.0,46.0,13.0,6.0,0.0,9.0,258.0,137.0,0.908,0.009,0.003,0.001,0.0,0.002,0.051,0.027
26005030702,5177.0,4869.0,28.0,0.0,26.0,0.0,0.0,92.0,162.0,0.941,0.005,0.0,0.005,0.0,0.0,0.018,0.031
26005030703,3091.0,2108.0,27.0,1.0,0.0,0.0,4.0,95.0,856.0,0.682,0.009,0.0,0.0,0.0,0.001,0.031,0.277
26005030704,5076.0,4095.0,22.0,2.0,16.0,0.0,20.0,100.0,821.0,0.807,0.004,0.0,0.003,0.0,0.004,0.02,0.162
26005030800,5337.0,4693.0,27.0,5.0,34.0,7.0,3.0,166.0,402.0,0.879,0.005,0.001,0.006,0.001,0.001,0.031,0.075
26005030901,2833.0,2259.0,20.0,54.0,0.0,0.0,0.0,71.0,429.0,0.797,0.007,0.019,0.0,0.0,0.0,0.025,0.151
26005030902,2566.0,2099.0,11.0,0.0,19.0,0.0,1.0,94.0,342.0,0.818,0.004,0.0,0.007,0.0,0.0,0.037,0.133
26005031000,6307.0,4225.0,72.0,60.0,0.0,0.0,0.0,427.0,1523.0,0.67,0.011,0.01,0.0,0.0,0.0,0.068,0.241
26005031100,6672.0,5906.0,75.0,15.0,19.0,0.0,0.0,375.0,282.0,0.885,0.011,0.002,0.003,0.0,0.0,0.056,0.042
26005031200,5742.0,4597.0,336.0,0.0,101.0,0.0,19.0,342.0,347.0,0.801,0.059,0.0,0.018,0.0,0.003,0.06,0.06
26005031300,4949.0,4593.0,19.0,17.0,84.0,0.0,0.0,191.0,45.0,0.928,0.004,0.003,0.017,0.0,0.0,0.039,0.009
26005031800,5501.0,4848.0,38.0,0.0,16.0,0.0,0.0,476.0,123.0,0.881,0.007,0.0,0.003,0.0,0.0,0.087,0.022
26005031900,4578.0,3766.0,1.0,0.0,56.0,14.0,347.0,139.0,255.0,0.823,0.0,0.0,0.012,0.003,0.076,0.03,0.056
26005032000,5382.0,4647.0,65.0,0.0,7.0,0.0,0.0,14.0,649.0,0.863,0.012,0.0,0.001,0.0,0.0,0.003,0.121
26005032100,4432.0,3898.0,45.0,66.0,0.0,0.0,7.0,174.0,242.0,0.88,0.01,0.015,0.0,0.0,0.002,0.039,0.055
26005032200,5837.0,4638.0,271.0,0.0,52.0,0.0,0.0,0.0,876.0,0.795,0.046,0.0,0.009,0.0,0.0,0.0,0.15
26005032401,1606.0,790.0,27.0,0.0,60.0,0.0,0.0,102.0,627.0,0.492,0.017,0.0,0.037,0.0,0.0,0.064,0.39
26005032402,4159.0,3930.0,12.0,28.0,55.0,0.0,0.0,58.0,76.0,0.945,0.003,0.007,0.013,0.0,0.0,0.014,0.018
26005032600,1352.0,1170.0,45.0,0.0,14.0,0.0,0.0,38.0,85.0,0.865,0.033,0.0,0.01,0.0,0.0,0.028,0.063
26005990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26007000100,4465.0,4285.0,1.0,5.0,7.0,0.0,3.0,155.0,9.0,0.96,0.0,0.001,0.002,0.0,0.001,0.035,0.002
26007000200,4111.0,3939.0,3.0,6.0,18.0,0.0,75.0,52.0,18.0,0.958,0.001,0.001,0.004,0.0,0.018,0.013,0.004
26007000300,3424.0,3230.0,47.0,0.0,0.0,0.0,0.0,140.0,7.0,0.943,0.014,0.0,0.0,0.0,0.0,0.041,0.002
26007000400,2870.0,2586.0,63.0,7.0,0.0,0.0,0.0,77.0,137.0,0.901,0.022,0.002,0.0,0.0,0.0,0.027,0.048
26007000500,1979.0,1733.0,31.0,12.0,0.0,0.0,0.0,88.0,115.0,0.876,0.016,0.006,0.0,0.0,0.0,0.044,0.058
