geo_id,tot_pop,latin_tot,white_tot,black_tot,aian_tot,asian_tot,nhpi_tot,other_tot,two_plus_tot
48001,11986.0,146.0,11563.0,23.0,67.0,32.0,3.0,0.0,152.0
48002,3285.0,95.0,3129.0,18.0,9.0,13.0,0.0,0.0,21.0
48003,6070.0,278.0,5710.0,10.0,13.0,12.0,0.0,6.0,41.0
48005,5379.0,97.0,5204.0,18.0,12.0,18.0,1.0,0.0,29.0
48006,4007.0,62.0,3858.0,10.0,20.0,7.0,0.0,0.0,50.0
48009,20107.0,419.0,18247.0,601.0,26.0,500.0,1.0,28.0,285.0
48014,4256.0,468.0,3701.0,8.0,13.0,15.0,0.0,6.0,45.0
48015,8257.0,140.0,6710.0,983.0,27.0,200.0,3.0,2.0,192.0
48017,11805.0,252.0,10858.0,217.0,24.0,238.0,3.0,14.0,199.0
48021,32353.0,673.0,20831.0,9492.0,113.0,342.0,4.0,62.0,836.0
48022,2654.0,73.0,2527.0,11.0,6.0,12.0,2.0,1.0,22.0
48023,5178.0,121.0,4885.0,52.0,11.0,20.0,1.0,0.0,88.0
48025,14543.0,224.0,12663.0,973.0,22.0,406.0,5.0,29.0,221.0
48026,14480.0,297.0,13099.0,562.0,61.0,210.0,1.0,10.0,240.0
48027,3249.0,43.0,3095.0,76.0,6.0,3.0,0.0,0.0,26.0
48028,1190.0,3.0,1177.0,1.0,3.0,1.0,0.0,0.0,5.0
48030,16422.0,446.0,13312.0,1586.0,132.0,239.0,2.0,12.0,693.0
48032,2322.0,28.0,2234.0,6.0,5.0,8.0,0.0,7.0,34.0
48033,16064.0,215.0,4073.0,11197.0,43.0,156.0,6.0,36.0,338.0
48034,12590.0,183.0,2544.0,9265.0,42.0,297.0,1.0,30.0,228.0
48035,34788.0,844.0,26055.0,6238.0,93.0,689.0,14.0,32.0,823.0
48036,20980.0,462.0,16692.0,3015.0,69.0,275.0,9.0,17.0,441.0
