geo_id,geo_name,tot_pop,latin_tot,white_tot,black_tot,latin_pct,white_pct,black_pct
8600000US48001,ZCTA5 48001,11903,122,11506,12,1.0,96.7,0.1
8600000US48002,ZCTA5 48002,3224,33,3150,0,1.0,97.7,0.0
8600000US48003,ZCTA5 48003,6047,284,5683,1,4.7,94.0,0.0
8600000US48005,ZCTA5 48005,5509,140,5217,42,2.5,94.7,0.8
8600000US48006,ZCTA5 48006,4058,44,3878,17,1.1,95.6,0.4
8600000US48009,ZCTA5 48009,21201,530,18617,712,2.5,87.8,3.4
8600000US48014,ZCTA5 48014,4136,480,3488,9,11.6,84.3,0.2
8600000US48015,ZCTA5 48015,8260,352,5480,1805,4.3,66.3,21.9
8600000US48017,ZCTA5 48017,11910,387,10866,138,3.2,91.2,1.2
8600000US48021,ZCTA5 48021,32336,654,14302,15373,2.0,44.2,47.5
8600000US48022,ZCTA5 48022,2605,101,2476,0,3.9,95.0,0.0
8600000US48023,ZCTA5 48023,5094,28,5012,50,0.5,98.4,1.0
8600000US48025,ZCTA5 48025,14820,353,12051,1409,2.4,81.3,9.5
8600000US48026,ZCTA5 48026,14580,411,12739,726,2.8,87.4,5.0
8600000US48027,ZCTA5 48027,3194,23,3126,0,0.7,97.9,0.0
8600000US48028,ZCTA5 48028,999,0,981,0,0.0,98.2,0.0
8600000US48030,ZCTA5 48030,16525,240,12916,2197,1.5,78.2,13.3
8600000US48032,ZCTA5 48032,1875,38,1743,24,2.0,93.0,1.3
8600000US48033,ZCTA5 48033,16757,382,3156,11784,2.3,18.8,70.3
8600000US48034,ZCTA5 48034,13846,371,2742,9586,2.7,19.8,69.2
8600000US48035,ZCTA5 48035,35599,771,24956,8174,2.2,70.1,23.0
8600000US48036,ZCTA5 48036,21353,430,14942,4614,2.0,70.0,21.6
8600000US48038,ZCTA5 48038,43478,1157,34054,5905,2.7,78.3,13.6
8600000US48039,ZCTA5 48039,7573,55,7423,0,0.7,98.0,0.0
8600000US48040,ZCTA5 48040,9693,428,9073,47,4.4,93.6,0.5
8600000US48041,ZCTA5 48041,4536,66,4420,3,1.5,97.4,0.1
8600000US48042,ZCTA5 48042,31485,630,28700,757,2.0,91.2,2.4
8600000US48043,ZCTA5 48043,16332,404,11177,4008,2.5,68.4,24.5
8600000US48044,ZCTA5 48044,57745,1693,49267,3956,2.9,85.3,6.9
8600000US48045,ZCTA5 48045,24995,603,21321,2287,2.4,85.3,9.1
8600000US48047,ZCTA5 48047,40535,1083,35612,2152,2.7,87.9,5.3
8600000US48048,ZCTA5 48048,7973,225,6855,519,2.8,86.0,6.5
8600000US48049,ZCTA5 48049,5451,55,5320,17,1.0,97.6,0.3
8600000US48050,ZCTA5 48050,1416,3,1377,0,0.2,97.2,0.0
8600000US48051,ZCTA5 48051,18878,945,15705,1740,5.0,83.2,9.2
8600000US48054,ZCTA5 48054,7170,51,6878,61,0.7,95.9,0.9
8600000US48059,ZCTA5 48059,14932,435,13912,134,2.9,93.2,0.9
8600000US48060,ZCTA5 48060,39405,2407,31435,2952,6.1,79.8,7.5
8600000US48062,ZCTA5 48062,9604,484,8549,91,5.0,89.0,0.9
8600000US48063,ZCTA5 48063,4013,65,3767,104,1.6,93.9,2.6
8600000US48064,ZCTA5 48064,4036,184,3737,8,4.6,92.6,0.2
8600000US48065,ZCTA5 48065,11042,671,9777,308,6.1,88.5,2.8
8600000US48066,ZCTA5 48066,47507,1147,34466,9549,2.4,72.5,20.1
8600000US48067,ZCTA5 48067,24556,896,21486,732,3.6,87.5,3.0
8600000US48069,ZCTA5 48069,2431,54,2170,51,2.2,89.3,2.1
8600000US48070,ZCTA5 48070,6322,119,5829,91,1.9,92.2,1.4
8600000US48071,ZCTA5 48071,30120,927,23992,2542,3.1,79.7,8.4
8600000US48072,ZCTA5 48072,15372,542,13708,457,3.5,89.2,3.0
8600000US48073,ZCTA5 48073,34700,1090,30125,1452,3.1,86.8,4.2
8600000US48074,ZCTA5 48074,9172,393,8468,6,4.3,92.3,0.1
8600000US48075,ZCTA5 48075,21758,340,4294,15912,1.6,19.7,73.1
8600000US48076,ZCTA5 48076,24947,342,7464,15839,1.4,29.9,63.5
8600000US48079,ZCTA5 48079,12188,280,11499,48,2.3,94.3,0.4
8600000US48080,ZCTA5 48080,22592,490,19356,2203,2.2,85.7,9.8
8600000US48081,ZCTA5 48081,20671,513,19017,650,2.5,92.0,3.1
8600000US48082,ZCTA5 48082,16200,439,15097,265,2.7,93.2,1.6
8600000US48083,ZCTA5 48083,22561,675,14812,976,3.0,65.7,4.3
8600000US48084,ZCTA5 48084,15737,318,8466,738,2.0,53.8,4.7
8600000US48085,ZCTA5 48085,26459,548,19437,877,2.1,73.5,3.3
8600000US48088,ZCTA5 48088,22189,767,17954,2228,3.5,80.9,10.0
8600000US48089,ZCTA5 48089,31226,871,17725,9998,2.8,56.8,32.0
8600000US48091,ZCTA5 48091,29811,853,15925,7042,2.9,53.4,23.6
8600000US48092,ZCTA5 48092,26939,476,19559,2434,1.8,72.6,9.0
8600000US48093,ZCTA5 48093,24632,707,17670,4260,2.9,71.7,17.3
8600000US48094,ZCTA5 48094,19872,799,18135,334,4.0,91.3,1.7
8600000US48095,ZCTA5 48095,5765,0,5435,54,0.0,94.3,0.9
8600000US48096,ZCTA5 48096,4010,9,3995,6,0.2,99.6,0.1
8600000US48097,ZCTA5 48097,5273,115,5010,10,2.2,95.0,0.2
8600000US48098,ZCTA5 48098,19232,493,12571,428,2.6,65.4,2.2
8600000US48101,ZCTA5 48101,27216,2732,22968,660,10.0,84.4,2.4
8600000US48103,ZCTA5 48103,55118,1940,42214,2328,3.5,76.6,4.2
8600000US48104,ZCTA5 48104,43369,1777,32557,2000,4.1,75.1,4.6
8600000US48105,ZCTA5 48105,36718,1603,20312,2274,4.4,55.3,6.2
8600000US48108,ZCTA5 48108,26753,1466,16290,3710,5.5,60.9,13.9
8600000US48109,ZCTA5 48109,5506,411,3341,384,7.5,60.7,7.0
8600000US48111,ZCTA5 48111,40926,1331,28114,9166,3.3,68.7,22.4
8600000US48114,ZCTA5 48114,21177,493,20130,269,2.3,95.1,1.3
8600000US48116,ZCTA5 48116,27244,884,25613,120,3.2,94.0,0.4
8600000US48117,ZCTA5 48117,10039,237,9407,215,2.4,93.7,2.1
8600000US48118,ZCTA5 48118,12827,236,12115,123,1.8,94.4,1.0
8600000US48120,ZCTA5 48120,7386,113,5579,643,1.5,75.5,8.7
8600000US48122,ZCTA5 48122,10348,2466,5787,1551,23.8,55.9,15.0
8600000US48124,ZCTA5 48124,28396,1393,24681,1237,4.9,86.9,4.4
8600000US48125,ZCTA5 48125,20110,1498,16463,1396,7.4,81.9,6.9
8600000US48126,ZCTA5 48126,48424,703,43702,819,1.5,90.2,1.7
8600000US48127,ZCTA5 48127,35747,1001,30155,2899,2.8,84.4,8.1
8600000US48128,ZCTA5 48128,10495,569,9575,185,5.4,91.2,1.8
8600000US48130,ZCTA5 48130,15756,563,14346,121,3.6,91.1,0.8
8600000US48131,ZCTA5 48131,7060,61,6825,60,0.9,96.7,0.8
8600000US48133,ZCTA5 48133,5227,201,4760,108,3.8,91.1,2.1
8600000US48134,ZCTA5 48134,21937,1933,17882,1440,8.8,81.5,6.6
8600000US48135,ZCTA5 48135,26683,1043,23593,913,3.9,88.4,3.4
8600000US48137,ZCTA5 48137,5245,95,4983,37,1.8,95.0,0.7
8600000US48138,ZCTA5 48138,10159,207,9553,65,2.0,94.0,0.6
8600000US48139,ZCTA5 48139,135,0,87,28,0.0,64.4,20.7
8600000US48140,ZCTA5 48140,3251,34,3214,3,1.0,98.9,0.1
8600000US48141,ZCTA5 48141,24520,883,4205,17977,3.6,17.1,73.3
8600000US48143,ZCTA5 48143,0,0,0,0,-,-,-
8600000US48144,ZCTA5 48144,9545,140,8914,116,1.5,93.4,1.2
8600000US48145,ZCTA5 48145,3358,174,3141,5,5.2,93.5,0.1
8600000US48146,ZCTA5 48146,36697,7940,24372,3004,21.6,66.4,8.2
8600000US48150,ZCTA5 48150,25938,1037,22736,1012,4.0,87.7,3.9
8600000US48152,ZCTA5 48152,31018,624,26609,1636,2.0,85.8,5.3
8600000US48154,ZCTA5 48154,37293,725,33381,1427,1.9,89.5,3.8
8600000US48157,ZCTA5 48157,1217,43,1135,0,3.5,93.3,0.0
8600000US48158,ZCTA5 48158,7585,249,7130,89,3.3,94.0,1.2
8600000US48159,ZCTA5 48159,2615,154,2369,45,5.9,90.6,1.7
8600000US48160,ZCTA5 48160,13565,900,11149,1087,6.6,82.2,8.0
8600000US48161,ZCTA5 48161,26254,751,23449,922,2.9,89.3,3.5
8600000US48162,ZCTA5 48162,27659,1194,24755,1023,4.3,89.5,3.7
8600000US48164,ZCTA5 48164,8713,180,8202,106,2.1,94.1,1.2
8600000US48165,ZCTA5 48165,7506,184,6973,97,2.5,92.9,1.3
8600000US48166,ZCTA5 48166,11758,462,10579,394,3.9,90.0,3.4
8600000US48167,ZCTA5 48167,22382,953,16957,1358,4.3,75.8,6.1
8600000US48168,ZCTA5 48168,22849,430,17623,517,1.9,77.1,2.3
8600000US48169,ZCTA5 48169,21818,289,21038,79,1.3,96.4,0.4
8600000US48170,ZCTA5 48170,39470,969,35839,569,2.5,90.8,1.4
8600000US48173,ZCTA5 48173,12443,601,11161,283,4.8,89.7,2.3
8600000US48174,ZCTA5 48174,31633,835,18817,10241,2.6,59.5,32.4
8600000US48176,ZCTA5 48176,23640,1004,20028,418,4.2,84.7,1.8
8600000US48177,ZCTA5 48177,229,0,229,0,0.0,100.0,0.0
8600000US48178,ZCTA5 48178,35390,1218,32292,184,3.4,91.2,0.5
8600000US48179,ZCTA5 48179,3686,318,3177,87,8.6,86.2,2.4
8600000US48180,ZCTA5 48180,61379,3335,43694,11622,5.4,71.2,18.9
8600000US48182,ZCTA5 48182,22463,1088,20669,190,4.8,92.0,0.8
8600000US48183,ZCTA5 48183,42248,2278,35921,2123,5.4,85.0,5.0
8600000US48184,ZCTA5 48184,17279,659,12772,3095,3.8,73.9,17.9
8600000US48185,ZCTA5 48185,48007,1851,33932,8163,3.9,70.7,17.0
8600000US48186,ZCTA5 48186,33931,1522,24668,5966,4.5,72.7,17.6
8600000US48187,ZCTA5 48187,50037,1046,34974,3918,2.1,69.9,7.8
8600000US48188,ZCTA5 48188,41883,1522,25177,4531,3.6,60.1,10.8
8600000US48189,ZCTA5 48189,13830,374,12878,107,2.7,93.1,0.8
8600000US48190,ZCTA5 48190,226,0,202,24,0.0,89.4,10.6
8600000US48191,ZCTA5 48191,4436,137,3727,162,3.1,84.0,3.7
8600000US48192,ZCTA5 48192,25044,1181,23164,216,4.7,92.5,0.9
8600000US48193,ZCTA5 48193,15754,812,13135,955,5.2,83.4,6.1
8600000US48195,ZCTA5 48195,29165,2444,23107,1772,8.4,79.2,6.1
8600000US48197,ZCTA5 48197,68108,4223,40481,16653,6.2,59.4,24.5
8600000US48198,ZCTA5 48198,38451,2299,19398,13870,6.0,50.4,36.1
8600000US48201,ZCTA5 48201,15846,292,4208,9198,1.8,26.6,58.0
8600000US48202,ZCTA5 48202,15816,420,3775,10334,2.7,23.9,65.3
8600000US48203,ZCTA5 48203,23063,468,1450,20754,2.0,6.3,90.0
8600000US48204,ZCTA5 48204,23927,734,618,21983,3.1,2.6,91.9
8600000US48205,ZCTA5 48205,33956,73,1198,32110,0.2,3.5,94.6
8600000US48206,ZCTA5 48206,16065,176,919,14454,1.1,5.7,90.0
8600000US48207,ZCTA5 48207,20809,169,3598,16099,0.8,17.3,77.4
8600000US48208,ZCTA5 48208,9026,471,1493,6740,5.2,16.5,74.7
8600000US48209,ZCTA5 48209,31624,21943,5950,3025,69.4,18.8,9.6
8600000US48210,ZCTA5 48210,30046,16984,7220,4824,56.5,24.0,16.1
8600000US48211,ZCTA5 48211,6229,56,2423,3194,0.9,38.9,51.3
8600000US48212,ZCTA5 48212,38162,483,15400,8826,1.3,40.4,23.1
8600000US48213,ZCTA5 48213,22148,166,533,21328,0.7,2.4,96.3
8600000US48214,ZCTA5 48214,21599,340,3631,17177,1.6,16.8,79.5
8600000US48215,ZCTA5 48215,11690,170,1066,10261,1.5,9.1,87.8
8600000US48216,ZCTA5 48216,5318,1466,1524,2190,27.6,28.7,41.2
8600000US48217,ZCTA5 48217,6678,960,303,5335,14.4,4.5,79.9
8600000US48218,ZCTA5 48218,7502,1335,2434,3666,17.8,32.4,48.9
8600000US48219,ZCTA5 48219,47632,617,2809,43236,1.3,5.9,90.8
8600000US48220,ZCTA5 48220,22548,551,17364,3275,2.4,77.0,14.5
8600000US48221,ZCTA5 48221,41523,363,2760,37095,0.9,6.6,89.3
8600000US48223,ZCTA5 48223,25746,309,1903,22624,1.2,7.4,87.9
8600000US48224,ZCTA5 48224,41453,501,3463,36491,1.2,8.4,88.0
8600000US48225,ZCTA5 48225,14194,113,4444,8659,0.8,31.3,61.0
8600000US48226,ZCTA5 48226,7150,369,3291,2604,5.2,46.0,36.4
8600000US48227,ZCTA5 48227,41353,205,576,39818,0.5,1.4,96.3
8600000US48228,ZCTA5 48228,56262,3355,8824,42299,6.0,15.7,75.2
8600000US48229,ZCTA5 48229,9432,1760,2962,3860,18.7,31.4,40.9
8600000US48230,ZCTA5 48230,16359,260,14177,1072,1.6,86.7,6.6
8600000US48233,ZCTA5 48233,0,0,0,0,-,-,-
8600000US48234,ZCTA5 48234,34307,343,1096,32160,1.0,3.2,93.7
8600000US48235,ZCTA5 48235,46450,519,736,44475,1.1,1.6,95.7
8600000US48236,ZCTA5 48236,29492,650,25090,2723,2.2,85.1,9.2
8600000US48237,ZCTA5 48237,29726,608,10873,16509,2.0,36.6,55.5
8600000US48238,ZCTA5 48238,25038,119,430,24051,0.5,1.7,96.1
8600000US48239,ZCTA5 48239,36364,1389,15962,17973,3.8,43.9,49.4
8600000US48240,ZCTA5 48240,16978,522,9233,6520,3.1,54.4,38.4
8600000US48242,ZCTA5 48242,0,0,0,0,-,-,-
8600000US48243,ZCTA5 48243,0,0,0,0,-,-,-
8600000US48301,ZCTA5 48301,14796,349,12354,834,2.4,83.5,5.6
8600000US48302,ZCTA5 48302,15964,558,11846,1212,3.5,74.2,7.6
8600000US48304,ZCTA5 48304,16237,421,12971,1188,2.6,79.9,7.3
8600000US48306,ZCTA5 48306,27334,1045,22675,742,3.8,83.0,2.7
