LOCATION ZONE,Bodily Injury,Property Damage,PIP,NON MED,Collision,Comprehensive,UM - Single Car,UM - Multi Car,UIM - Single Car,UIM - Multi Car
N4822552W08836531,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4823109W08835580,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4823530W08834466,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4822421W08836573,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4822450W08836423,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4818015W08847570,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4818020W08846904,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4818200W08844422,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4818518W08843341,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4818469W08842152,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4816519W08852579,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4816600W08850112,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4816824W08848826,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4817115W08847751,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4817591W08846725,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4817621W08844615,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4817684W08843689,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4817928W08842152,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4815090W08862279,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4815355W08861223,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4815381W08859989,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4815585W08858822,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4816054W08856049,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4815767W08855265,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4815407W08853603,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4815792W08852738,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4815668W08850553,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4816126W08849667,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4815622W08847684,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4816163W08846241,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4816354W08845384,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4813767W08865516,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4813987W08864140,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4813986W08862552,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4814270W08861297,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4814329W08860126,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4813999W08858188,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4814248W08856847,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4814612W08855126,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4814249W08853749,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4813880W08851921,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4814095W08850855,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4814283W08849343,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4814494W08847753,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4814393W08846901,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812054W08866736,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812825W08865602,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812855W08864383,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812946W08862869,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812750W08861250,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812750W08859750,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812750W08858250,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812750W08856750,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812750W08855250,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812774W08853793,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812667W08852142,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4812947W08850835,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4813295W08849510,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4810530W08871938,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4810698W08869931,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4811146W08868519,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4811161W08867189,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4811250W08865750,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4811250W08864250,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4811250W08862750,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
N4811250W08861250,287.00,52.61,"2,531.59",261.98,283.17,20.40,19.68,19.68,26.19,26.19
