Census Tract,BI,PD,MLPD,PPI,PIP_MED,PIP_WL,COMP,COLL,CR,UM,UIM
26001000100,0.5728,0.5728,0.5728,0.6012,0.6445,0.5332,0.6613,0.4852,0.2400,0.5210,0.5210
26001970100,0.5732,0.5732,0.5732,0.6012,0.6457,0.5336,0.6613,0.4851,0.2400,0.5210,0.5210
26001970400,0.5732,0.5732,0.5732,0.6012,0.6457,0.5336,0.6613,0.4851,0.2400,0.5210,0.5210
26001970500,0.5794,0.5794,0.5794,0.6068,0.6494,0.5417,0.6629,0.4933,0.2448,0.5262,0.5262
26001970600,0.5732,0.5732,0.5732,0.6012,0.6457,0.5336,0.6613,0.4851,0.2400,0.5210,0.5210
26003000100,0.6148,0.6148,0.6148,0.6764,0.5862,0.5589,0.7619,0.5724,0.2700,0.5862,0.5862
26003000200,0.6038,0.6038,0.6038,0.6614,0.5732,0.5465,0.7450,0.5549,0.2640,0.5732,0.5732
26003000300,0.6148,0.6148,0.6148,0.6764,0.5862,0.5589,0.7619,0.5724,0.2700,0.5862,0.5862
26005030200,0.6923,0.6923,0.6923,0.6655,0.6738,0.6601,0.6439,0.6196,0.2833,0.6035,0.6035
26005030300,0.7003,0.7003,0.7003,0.6932,0.6789,0.6584,0.6473,0.6777,0.3006,0.6159,0.6159
26005030401,0.6910,0.6910,0.6910,0.6699,0.6702,0.6589,0.6420,0.6237,0.2867,0.6060,0.6060
26005030402,0.6885,0.6885,0.6885,0.6637,0.6732,0.6570,0.6428,0.6191,0.2818,0.6018,0.6018
26005030500,0.6918,0.6918,0.6918,0.6604,0.6770,0.6593,0.6459,0.6142,0.2794,0.5999,0.5999
26005030600,0.7171,0.7171,0.7171,0.6838,0.6961,0.6995,0.6657,0.6535,0.2995,0.6405,0.6405
26005030702,0.6935,0.6935,0.6935,0.6613,0.6772,0.6613,0.6457,0.6157,0.2800,0.6012,0.6012
26005030703,0.6935,0.6935,0.6935,0.6613,0.6772,0.6613,0.6457,0.6157,0.2800,0.6012,0.6012
26005030704,0.6935,0.6935,0.6935,0.6613,0.6772,0.6613,0.6457,0.6157,0.2800,0.6012,0.6012
26005030800,0.6908,0.6908,0.6908,0.6632,0.6763,0.6599,0.6443,0.6178,0.2815,0.6022,0.6022
26005030901,0.6935,0.6935,0.6935,0.6613,0.6772,0.6613,0.6457,0.6157,0.2800,0.6012,0.6012
26005030902,0.6935,0.6935,0.6935,0.6613,0.6772,0.6613,0.6457,0.6157,0.2800,0.6012,0.6012
26005031000,0.6935,0.6935,0.6935,0.6613,0.6772,0.6613,0.6457,0.6157,0.2800,0.6012,0.6012
26005031100,0.6935,0.6935,0.6935,0.6613,0.6772,0.6613,0.6457,0.6157,0.2800,0.6012,0.6012
26005031200,0.6935,0.6935,0.6935,0.6613,0.6772,0.6613,0.6457,0.6157,0.2800,0.6012,0.6012
26005031300,0.6850,0.6850,0.6850,0.6684,0.6525,0.6347,0.6297,0.6165,0.2944,0.6200,0.6200
26005031800,0.5949,0.5949,0.5949,0.6372,0.5059,0.4846,0.5173,0.5681,0.3215,0.6334,0.6334
26005031900,0.5872,0.5872,0.5872,0.6303,0.4997,0.4749,0.5115,0.5593,0.3188,0.6290,0.6290
26005032000,0.5932,0.5932,0.5932,0.6354,0.5045,0.4828,0.5131,0.5670,0.3217,0.6338,0.6338
26005032100,0.5870,0.5870,0.5870,0.6305,0.4968,0.4737,0.5088,0.5597,0.3200,0.6305,0.6305
26005032200,0.6743,0.6743,0.6743,0.7288,0.6310,0.6460,0.6138,0.6758,0.3329,0.6396,0.6396
26005032401,0.6803,0.6803,0.6803,0.7064,0.6407,0.6487,0.6261,0.6577,0.3150,0.6263,0.6263
26005032402,0.6820,0.6820,0.6820,0.7079,0.6437,0.6487,0.6241,0.6619,0.3161,0.6271,0.6271
26005032600,0.6649,0.6649,0.6649,0.6842,0.6484,0.6363,0.6264,0.6429,0.2975,0.6102,0.6102
26007000100,0.7324,0.7324,0.7324,0.7682,0.8251,0.6819,0.8449,0.6199,0.3067,0.6658,0.6658
26007000200,0.7523,0.7523,0.7523,0.7891,0.8475,0.7004,0.8679,0.6367,0.3150,0.6839,0.6839
26007000300,0.7538,0.7538,0.7538,0.7941,0.8435,0.7025,0.8609,0.6481,0.3206,0.6867,0.6867
26007000400,0.7523,0.7523,0.7523,0.7891,0.8475,0.7004,0.8679,0.6367,0.3150,0.6839,0.6839
26007000500,0.7523,0.7523,0.7523,0.7891,0.8475,0.7004,0.8679,0.6367,0.3150,0.6839,0.6839
26007000600,0.7523,0.7523,0.7523,0.7891,0.8475,0.7004,0.8679,0.6367,0.3150,0.6839,0.6839
26007000700,0.7523,0.7523,0.7523,0.7891,0.8475,0.7004,0.8679,0.6367,0.3150,0.6839,0.6839
26007000800,0.7523,0.7523,0.7523,0.7891,0.8475,0.7004,0.8679,0.6367,0.3150,0.6839,0.6839
26007000900,0.7523,0.7523,0.7523,0.7891,0.8475,0.7004,0.8679,0.6367,0.3150,0.6839,0.6839
26009960100,0.7411,0.7411,0.7411,0.7639,0.6944,0.6786,0.6818,0.6765,0.3068,0.6663,0.6663
26009960200,0.7365,0.7365,0.7365,0.7515,0.6989,0.6670,0.7076,0.6624,0.3000,0.6513,0.6513
26009960300,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26009960400,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26009960500,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26009960600,0.7338,0.7338,0.7338,0.7515,0.6831,0.6670,0.6831,0.6670,0.3000,0.6513,0.6513
26009960700,0.7373,0.7373,0.7373,0.7588,0.6887,0.6738,0.6872,0.6721,0.3046,0.6582,0.6582
26011970100,0.8878,0.8878,0.8878,0.8266,0.8878,0.8071,1.0741,0.8071,0.3500,0.7515,0.7515
26011970200,0.8878,0.8878,0.8878,0.8266,0.8878,0.8071,1.0741,0.8071,0.3500,0.7515,0.7515
26011970300,0.8878,0.8878,0.8878,0.8266,0.8878,0.8071,1.0741,0.8071,0.3500,0.7515,0.7515
26011970400,0.8820,0.8820,0.8820,0.8252,0.8756,0.7982,1.0331,0.8057,0.3500,0.7490,0.7490
26011970500,0.8878,0.8878,0.8878,0.8266,0.8878,0.8071,1.0741,0.8071,0.3500,0.7515,0.7515
26013000100,0.5947,0.5947,0.5947,0.6388,0.5536,0.5279,0.7195,0.5154,0.2550,0.5536,0.5536
26013000200,0.5908,0.5908,0.5908,0.6349,0.5502,0.5247,0.7151,0.5127,0.2534,0.5502,0.5502
26015010100,0.8012,0.8012,0.8012,0.7640,0.7661,0.8143,0.9491,0.7256,0.3261,0.6965,0.6965
26015010200,0.7975,0.7975,0.7975,0.7605,0.7605,0.8168,0.9422,0.7251,0.3220,0.6914,0.6914
26015010300,0.7975,0.7975,0.7975,0.7605,0.7605,0.8168,0.9422,0.7251,0.3220,0.6914,0.6914
26015010401,0.7645,0.7645,0.7645,0.7328,0.7291,0.7660,0.8570,0.6934,0.3131,0.6692,0.6692
26015010402,0.7933,0.7933,0.7933,0.7605,0.7558,0.8079,0.9244,0.7293,0.3261,0.6936,0.6936
26015010500,0.7241,0.7241,0.7241,0.7561,0.6362,0.6287,0.6754,0.6856,0.3706,0.7405,0.7405
26015010600,0.7965,0.7965,0.7965,0.7606,0.7584,0.8138,0.9390,0.7242,0.3232,0.6929,0.6929
26015010700,0.7977,0.7977,0.7977,0.7610,0.7594,0.8160,0.9368,0.7265,0.3242,0.6925,0.6925
26015010800,0.7975,0.7975,0.7975,0.7605,0.7605,0.8168,0.9422,0.7251,0.3220,0.6914,0.6914
26015011300,0.7975,0.7975,0.7975,0.7605,0.7605,0.8168,0.9422,0.7251,0.3220,0.6914,0.6914
26015011400,0.7975,0.7975,0.7975,0.7605,0.7605,0.8168,0.9422,0.7251,0.3220,0.6914,0.6914
26017280300,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017280400,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017280500,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017280600,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017280700,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017280800,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017280900,0.9263,0.9263,0.9263,0.8451,0.9235,0.7833,0.5144,0.6835,0.3512,0.7182,0.7182
26017281000,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017281300,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017285100,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017285201,0.9314,0.9314,0.9314,0.8463,0.9311,0.7881,0.5120,0.6835,0.3500,0.7165,0.7165
26017285202,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017285300,0.9304,0.9304,0.9304,0.8424,0.9267,0.7860,0.5209,0.6869,0.3491,0.7154,0.7154
26017285400,0.9138,0.9138,0.9138,0.8344,0.9049,0.7811,0.5268,0.6866,0.3479,0.7146,0.7146
26017285500,0.9290,0.9290,0.9290,0.8458,0.9274,0.7863,0.5112,0.6849,0.3500,0.7165,0.7165
26017285600,0.9263,0.9263,0.9263,0.8167,0.9122,0.7700,0.5584,0.7033,0.3479,0.7122,0.7122
26017285700,0.9297,0.9297,0.9297,0.8445,0.9297,0.7879,0.5179,0.6829,0.3493,0.7154,0.7154
26017285800,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017285900,0.9293,0.9293,0.9293,0.8456,0.9297,0.7869,0.5147,0.6826,0.3495,0.7159,0.7159
26017286000,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017286100,0.9476,0.9476,0.9476,0.8287,0.9293,0.7864,0.5557,0.7102,0.3498,0.7160,0.7160
26017286200,0.9463,0.9463,0.9463,0.8249,0.9249,0.7835,0.5609,0.7142,0.3496,0.7156,0.7156
26017286300,0.9535,0.9535,0.9535,0.8266,0.9311,0.7881,0.5646,0.7165,0.3500,0.7165,0.7165
26017286400,0.9371,0.9371,0.9371,0.8266,0.9203,0.7929,0.6920,0.7392,0.3500,0.7253,0.7253
26017286500,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26017286600,0.9311,0.9311,0.9311,0.8465,0.9311,0.7881,0.5114,0.6831,0.3500,0.7165,0.7165
26019000100,0.5905,0.5905,0.5905,0.6076,0.6603,0.5374,0.6603,0.5283,0.2432,0.5263,0.5263
26019000200,0.5870,0.5870,0.5870,0.6012,0.6613,0.5336,0.6613,0.5210,0.2400,0.5210,0.5210
26019000300,0.5885,0.5885,0.5885,0.6049,0.6585,0.5345,0.6576,0.5285,0.2446,0.5285,0.5285
26019000400,0.5870,0.5870,0.5870,0.6012,0.6613,0.5336,0.6613,0.5210,0.2400,0.5210,0.5210
26019000500,0.5949,0.5949,0.5949,0.6102,0.6608,0.5407,0.6588,0.5334,0.2491,0.5310,0.5310
26021000300,0.9859,0.9859,0.9859,0.7064,0.8752,0.8752,0.7587,0.8546,0.3290,0.7957,0.7957
26021000600,0.9859,0.9859,0.9859,0.7064,0.8752,0.8752,0.7587,0.8546,0.3290,0.7957,0.7957
26021000700,0.9765,0.9765,0.9765,0.7515,0.8465,0.7515,0.6513,0.7165,0.3500,0.8465,0.8465
