company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,geography_factor_id,latitude,longitude,county_fips,county_name,tract_fips,block_group_fips,zip,place_name_fips,rate_liability,rate_pip,rate_ppi,rate_comp,rate_collision,generic_location_based_premium,location_effect
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,001,,,26001,"Alcona County, Michigan",,,,,3759,9352,351,8585,19964,42011,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,002,,,26003,"Alger County, Michigan",,,,,3567,8126,355,7562,21692,41302,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,003,,,26005,"Allegan County, Michigan",,,,,3481,9384,336,5221,24261,42683,0.99
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,004,,,26007,"Alpena County, Michigan",,,,,3540,8371,334,8004,19493,39742,0.92
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,005,,,26009,"Antrim County, Michigan",,,,,3721,8308,324,5767,25315,43435,1.0
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,006,,,26011,"Arenac County, Michigan",,,,,4601,10959,401,9952,22576,48489,1.12
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,007,,,26013,"Baraga County, Michigan",,,,,3858,9453,381,13476,19886,47054,1.09
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,008,,,26015,"Barry County, Michigan",,,,,3910,11077,338,10145,23251,48721,1.12
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,009,,,26017,"Bay County, Michigan",,,,,3332,8950,301,4529,20484,37596,0.87
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,010,,,26019,"Benzie County, Michigan",,,,,3724,8770,336,7029,21397,41256,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,011,,,26021,"Berrien County, Michigan",,,,,4312,9872,423,4409,19592,38608,0.89
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,012,,,26023,"Branch County, Michigan",,,,,4269,10231,390,7625,21213,43728,1.01
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,013,,,26025,"Calhoun County, Michigan",,,,,3388,9614,348,6148,24145,43643,1.01
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,014,,,26027,"Cass County, Michigan",,,,,4252,9642,381,6364,23604,44243,1.02
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,015,,,26029,"Charlevoix County, Michigan",,,,,3721,8308,324,5767,25315,43435,1.0
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,016,,,26031,"Cheboygan County, Michigan",,,,,3759,9352,351,8585,19964,42011,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,017,,,26033,"Chippewa County, Michigan",,,,,3567,8126,355,7562,21692,41302,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,018,,,26035,"Clare County, Michigan",,,,,3707,10691,328,10171,23941,48838,1.13
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,019,,,26037,"Clinton County, Michigan",,,,,3271,8653,300,5579,22427,40230,0.93
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,020,,,26039,"Crawford County, Michigan",,,,,3759,9352,351,8585,19964,42011,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,021,,,26041,"Delta County, Michigan",,,,,3858,9453,381,13476,19886,47054,1.09
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,022,,,26043,"Dickinson County, Michigan",,,,,3858,9453,381,13476,19886,47054,1.09
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,023,,,26045,"Eaton County, Michigan",,,,,3293,8991,302,5592,23235,41413,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,024,,,26047,"Emmet County, Michigan",,,,,3721,8308,324,5767,25315,43435,1.0
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,025,,,26049,"Genesee County, Michigan",,,,,5328,14697,433,6482,28633,55573,1.28
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,026,,,26051,"Gladwin County, Michigan",,,,,4601,10959,401,9952,22576,48489,1.12
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,027,,,26053,"Gogebic County, Michigan",,,,,3858,9453,381,13476,19886,47054,1.09
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,028,,,26055,"Grand Traverse County, Michigan",,,,,3685,8195,320,5489,22946,40635,0.94
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,029,,,26057,"Gratiot County, Michigan",,,,,3269,7687,293,5737,18416,35402,0.82
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,030,,,26059,"Hillsdale County, Michigan",,,,,4269,10231,390,7625,21213,43728,1.01
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,031,,,26061,"Houghton County, Michigan",,,,,3858,9453,381,13476,19886,47054,1.09
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,032,,,26063,"Huron County, Michigan",,,,,4321,12396,361,8091,23518,48687,1.12
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,033,,,26065,"Ingham County, Michigan",,,,,3259,9019,302,5009,23931,41520,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,county,034,,,26067,"Ionia County, Michigan",,,,,3910,11077,338,10145,23251,48721,1.12
