Territory,Liability,PIP,PPI,Comp,Collision
001,3759,9352,351,8585,19964
002,3567,8126,355,7562,21692
003,3481,9384,336,5221,24261
004,3540,8371,334,8004,19493
005,3721,8308,324,5767,25315
006,4601,10959,401,9952,22576
007,3858,9453,381,13476,19886
008,3910,11077,338,10145,23251
009,3332,8950,301,4529,20484
010,3724,8770,336,7029,21397
011,4312,9872,423,4409,19592
012,4269,10231,390,7625,21213
013,3388,9614,348,6148,24145
014,4252,9642,381,6364,23604
015,3721,8308,324,5767,25315
016,3759,9352,351,8585,19964
017,3567,8126,355,7562,21692
018,3707,10691,328,10171,23941
019,3271,8653,300,5579,22427
020,3759,9352,351,8585,19964
021,3858,9453,381,13476,19886
022,3858,9453,381,13476,19886
023,3293,8991,302,5592,23235
024,3721,8308,324,5767,25315
025,5328,14697,433,6482,28633
026,4601,10959,401,9952,22576
027,3858,9453,381,13476,19886
028,3685,8195,320,5489,22946
029,3269,7687,293,5737,18416
030,4269,10231,390,7625,21213
031,3858,9453,381,13476,19886
032,4321,12396,361,8091,23518
033,3259,9019,302,5009,23931
034,3910,11077,338,10145,23251
035,3759,9352,351,8585,19964
036,3858,9453,381,13476,19886
037,3120,6685,281,4260,16572
038,3358,9750,338,6306,23617
039,3588,8090,362,4550,23604
040,3718,8294,323,5734,25001
041,3835,8032,361,4581,27073
042,3858,9453,381,13476,19886
043,3707,10691,328,10171,23941
044,4787,12534,416,7338,29312
045,3682,8189,320,5474,22823
046,3643,9441,320,5861,24054
047,3643,9441,320,5861,24054
048,3567,8126,355,7562,21692
049,3567,8126,355,7562,21692
050,4220,12317,382,5914,31083
051,3707,8596,331,6565,21824
052,3567,8126,355,7562,21692
053,3707,10691,328,10171,23941
054,3965,10811,352,9379,24484
055,3858,9453,381,13476,19886
056,3120,6685,281,4260,16572
057,3759,9352,351,8585,19964
058,4761,11413,444,4619,25229
059,4011,10832,357,9237,24585
060,3579,8539,338,8101,19572
061,3557,9483,351,5122,24633
062,3788,10348,348,8092,24441
063,4653,11776,403,6257,31128
064,3707,10691,328,10171,23941
065,3759,9352,351,8585,19964
066,3858,9453,381,13476,19886
067,3707,10691,328,10171,23941
068,3759,9352,351,8585,19964
069,3759,9352,351,8585,19964
070,3080,7058,294,4169,25052
071,3557,8442,336,8045,19525
072,3759,9352,351,8585,19964
073,3361,8733,316,4218,21255
074,4705,13133,397,6407,28359
075,4269,10231,390,7625,21213
076,4321,12396,361,8091,23518
077,3567,8126,355,7562,21692
078,3303,8779,302,5817,22468
079,4321,12396,361,8091,23518
080,3886,9203,366,5631,23715
081,3443,8571,320,4994,23732
082,5211,16046,447,10236,31326
083,3741,9060,343,7807,20679
