GRID ID,BI_FCTR,COLL_FCTR,COMP_FCTR,LTDPD_FCTR,PD_FCTR,PIP_FCTR,PPI_FCTR
0416908441,0.717,0.808,1.795,0.664,0.802,0.711,0.802
0416908442,0.717,0.808,1.768,0.664,0.802,0.711,0.802
0416908443,0.717,0.808,1.777,0.664,0.802,0.696,0.802
0416908444,0.717,0.808,1.75,0.664,0.802,0.711,0.802
0416908445,0.717,0.808,1.75,0.664,0.802,0.711,0.802
0416908446,0.717,0.792,1.768,0.664,0.802,0.711,0.802
0416908447,0.717,0.799,1.795,0.664,0.802,0.711,0.802
0416908448,0.717,0.799,1.768,0.664,0.802,0.711,0.802
0416908449,0.717,0.799,1.768,0.664,0.802,0.711,0.802
0416908450,0.717,0.792,1.768,0.664,0.802,0.711,0.802
0416908451,0.717,0.792,1.795,0.664,0.802,0.711,0.802
0416908452,0.717,0.799,1.795,0.664,0.802,0.711,0.802
0416908453,0.717,0.799,1.802,0.664,0.802,0.711,0.802
0416908454,0.739,0.792,1.802,0.657,0.802,0.711,0.802
0416908455,0.717,0.792,1.802,0.657,0.802,0.711,0.802
0416908456,0.717,0.792,1.802,0.657,0.802,0.711,0.802
0416908457,0.717,0.792,1.82,0.657,0.802,0.711,0.802
0416908458,0.717,0.792,1.847,0.657,0.802,0.711,0.802
0416908459,0.717,0.792,1.847,0.657,0.802,0.711,0.802
0416908460,0.717,0.792,1.847,0.657,0.802,0.711,0.802
0416908461,0.717,0.792,1.847,0.657,0.802,0.711,0.802
0416908462,0.717,0.792,1.847,0.657,0.802,0.711,0.802
0416908463,0.717,0.768,1.847,0.651,0.802,0.711,0.802
0416908464,0.733,0.806,2.052,0.689,0.821,0.727,0.821
0416908465,0.733,0.806,2.039,0.682,0.821,0.727,0.821
0416908466,0.764,0.806,1.998,0.682,0.83,0.735,0.83
0416908467,0.756,0.806,2.038,0.674,0.821,0.727,0.821
0416908468,0.764,0.822,2.005,0.674,0.83,0.735,0.83
0416908469,0.764,0.822,1.967,0.674,0.83,0.735,0.83
0416908470,0.764,0.822,1.933,0.674,0.83,0.735,0.83
0416908471,0.764,0.814,1.933,0.674,0.83,0.735,0.83
0416908472,0.764,0.791,1.933,0.647,0.83,0.735,0.83
0416908473,0.763,0.797,1.916,0.647,0.854,0.741,0.854
0416908474,0.787,0.797,1.861,0.64,0.854,0.741,0.854
0416908475,0.787,0.797,1.917,0.647,0.854,0.741,0.854
0416908476,0.763,0.789,1.917,0.64,0.854,0.741,0.854
0416908477,0.787,0.789,1.917,0.64,0.854,0.741,0.854
0416908478,0.802,0.789,1.917,0.634,0.87,0.755,0.87
0416908479,0.81,0.782,1.935,0.628,0.879,0.762,0.879
0416908480,0.81,0.765,1.901,0.628,0.879,0.779,0.879
0416908481,0.763,0.723,1.903,0.618,0.828,0.734,0.828
0417008405,0.74,0.8,1.165,0.788,0.846,0.733,0.846
0417008406,0.74,0.825,1.165,0.788,0.846,0.733,0.846
0417008407,0.74,0.825,1.165,0.788,0.846,0.733,0.846
0417008408,0.74,0.841,1.13,0.788,0.846,0.733,0.846
0417008409,0.74,0.825,1.13,0.788,0.846,0.733,0.846
0417008410,0.74,0.825,1.13,0.788,0.846,0.733,0.846
0417008411,0.74,0.841,1.148,0.796,0.846,0.733,0.846
0417008412,0.74,0.832,1.148,0.796,0.846,0.733,0.846
0417008413,0.74,0.832,1.148,0.788,0.846,0.733,0.846
0417008414,0.748,0.841,1.148,0.788,0.854,0.741,0.854
0417008415,0.748,0.841,1.148,0.788,0.854,0.741,0.854
0417008416,0.748,0.841,1.148,0.788,0.854,0.741,0.854
0417008417,0.748,0.841,1.148,0.796,0.854,0.741,0.854
0417008418,0.748,0.841,1.148,0.788,0.854,0.741,0.854
0417008419,0.748,0.841,1.148,0.788,0.854,0.741,0.854
0417008420,0.763,0.841,1.148,0.788,0.854,0.741,0.854
0417008421,0.733,0.783,1.252,0.739,0.838,0.727,0.838
0417008422,0.749,0.783,1.278,0.739,0.838,0.727,0.838
0417008423,0.741,0.791,1.291,0.739,0.83,0.719,0.83
0417008424,0.732,0.807,1.304,0.739,0.82,0.726,0.82
0417008425,0.732,0.807,1.304,0.732,0.82,0.726,0.82
0417008426,0.732,0.816,1.33,0.739,0.82,0.726,0.82
0417008427,0.732,0.816,1.344,0.732,0.82,0.726,0.82
0417008428,0.732,0.824,1.344,0.732,0.82,0.726,0.82
0417008429,0.74,0.824,1.398,0.732,0.828,0.734,0.828
0417008430,0.74,0.824,1.505,0.725,0.828,0.734,0.828
0417008431,0.74,0.824,1.496,0.725,0.828,0.734,0.828
0417008432,0.74,0.824,1.528,0.725,0.828,0.719,0.828
0417008433,0.732,0.824,1.57,0.732,0.82,0.726,0.82
0417008434,0.732,0.824,1.656,0.725,0.82,0.726,0.82
0417008435,0.717,0.848,1.772,0.725,0.802,0.711,0.802
0417008436,0.733,0.84,1.814,0.725,0.821,0.727,0.821
0417008437,0.717,0.84,1.872,0.717,0.802,0.711,0.802
0417008438,0.733,0.831,1.923,0.725,0.821,0.712,0.821
0417008439,0.717,0.831,1.97,0.725,0.802,0.711,0.802
0417008440,0.733,0.831,1.951,0.725,0.821,0.712,0.821
0417008441,0.733,0.84,1.97,0.725,0.821,0.727,0.821
0417008442,0.718,0.84,1.97,0.725,0.803,0.712,0.803
0417008443,0.718,0.84,2.02,0.725,0.803,0.712,0.803
0417008444,0.718,0.865,2.01,0.725,0.803,0.712,0.803
0417008445,0.718,0.849,2.006,0.725,0.803,0.712,0.803
0417008446,0.703,0.84,2.006,0.718,0.787,0.698,0.787
0417008447,0.703,0.865,2.036,0.718,0.787,0.698,0.787
0417008448,0.717,0.848,2.036,0.718,0.802,0.711,0.802
0417008449,0.709,0.848,1.996,0.718,0.793,0.703,0.793
0417008450,0.709,0.814,1.95,0.718,0.793,0.703,0.793
0417008451,0.703,0.856,1.95,0.718,0.787,0.698,0.787
0417008452,0.718,0.856,2.039,0.718,0.803,0.697,0.803
0417008453,0.718,0.848,2.0,0.718,0.803,0.712,0.803
0417008454,0.733,0.848,2.077,0.702,0.821,0.712,0.821
0417008455,0.717,0.839,2.06,0.702,0.802,0.711,0.802
0417008456,0.718,0.866,2.069,0.71,0.803,0.712,0.803
0417008457,0.725,0.856,2.069,0.702,0.811,0.719,0.811
0417008458,0.733,0.856,2.06,0.689,0.821,0.727,0.821
0417008459,0.733,0.848,2.06,0.689,0.821,0.727,0.821
0417008460,0.733,0.848,2.088,0.689,0.821,0.727,0.821
0417008461,0.733,0.848,2.088,0.689,0.821,0.727,0.821
0417008462,0.733,0.822,2.052,0.689,0.821,0.712,0.821
0417008463,0.733,0.822,2.088,0.689,0.821,0.712,0.821
0417008464,0.733,0.814,2.088,0.689,0.821,0.727,0.821
0417008465,0.756,0.831,2.092,0.681,0.821,0.727,0.821
0417008466,0.756,0.839,1.998,0.674,0.821,0.727,0.821
0417008467,0.756,0.831,1.998,0.674,0.821,0.727,0.821
0417008468,0.756,0.814,2.038,0.674,0.821,0.727,0.821
0417008469,0.756,0.814,1.998,0.674,0.821,0.727,0.821
0417008470,0.756,0.814,1.967,0.674,0.821,0.727,0.821
0417008471,0.756,0.806,1.929,0.674,0.821,0.727,0.821
0417008472,0.756,0.814,1.933,0.667,0.846,0.733,0.846
0417008473,0.763,0.823,1.916,0.667,0.854,0.741,0.854
0417008474,0.764,0.79,1.897,0.64,0.83,0.735,0.83
0417008475,0.764,0.797,1.897,0.634,0.83,0.735,0.83
0417008476,0.81,0.79,1.897,0.64,0.879,0.762,0.879
0417008477,0.802,0.789,1.935,0.64,0.87,0.755,0.87
0417008478,0.81,0.773,1.917,0.647,0.879,0.762,0.879
0417008479,0.81,0.773,1.917,0.628,0.879,0.779,0.879
0417008480,0.81,0.789,1.917,0.628,0.879,0.779,0.879
0417008481,0.763,0.746,1.903,0.618,0.828,0.734,0.828
0417108370,1.337,0.888,0.669,0.729,1.495,1.296,1.495
0417108371,1.337,0.888,0.669,0.722,1.495,1.296,1.495
0417108372,1.337,0.852,0.669,0.722,1.495,1.296,1.495
0417108373,1.337,0.86,0.669,0.722,1.495,1.296,1.495
0417108374,1.337,0.879,0.669,0.722,1.495,1.296,1.495
0417108375,1.337,0.86,0.669,0.722,1.495,1.296,1.495
0417108376,1.058,0.855,0.909,0.755,1.183,1.027,1.183
0417108377,0.779,0.85,1.148,0.788,0.871,0.756,0.871
0417108378,0.779,0.841,1.148,0.788,0.871,0.756,0.871
0417108379,0.763,0.841,1.148,0.788,0.854,0.741,0.854
0417108380,0.779,0.841,1.148,0.788,0.871,0.756,0.871
0417108381,0.779,0.85,1.148,0.788,0.871,0.756,0.871
0417108382,0.779,0.868,1.148,0.788,0.871,0.756,0.871
0417108383,0.763,0.85,1.119,0.788,0.854,0.741,0.854
0417108384,0.779,0.85,1.119,0.788,0.871,0.756,0.871
0417108385,0.763,0.85,1.108,0.788,0.854,0.741,0.854
0417108386,0.756,0.85,1.096,0.788,0.846,0.733,0.846
0417108387,0.971,0.815,1.072,0.777,1.086,0.942,1.086
0417108388,0.972,0.822,1.016,0.769,1.087,0.943,1.087
0417108389,0.959,0.857,0.995,0.769,1.096,0.95,1.096
0417108390,0.971,0.798,0.984,0.769,1.109,0.962,1.109
0417108391,0.951,0.798,0.975,0.777,1.086,0.942,1.086
0417108392,0.951,0.767,0.964,0.769,1.086,0.942,1.086
0417108393,0.943,0.774,0.964,0.769,1.078,0.934,1.078
0417108394,0.935,0.751,0.964,0.769,1.068,0.926,1.068
0417108395,0.907,0.751,0.952,0.769,1.036,0.899,1.036
0417108396,0.907,0.767,0.962,0.769,1.036,0.899,1.036
0417108397,0.89,0.752,0.973,0.777,1.017,0.882,1.017
0417108398,0.881,0.736,0.973,0.777,1.006,0.873,1.006
0417108399,0.881,0.76,0.973,0.777,1.006,0.873,1.006
0417108400,0.875,0.729,0.983,0.777,1.0,0.867,1.0
0417108401,0.875,0.729,1.014,0.785,1.0,0.867,1.0
0417108402,0.849,0.722,1.023,0.785,0.971,0.841,0.971
0417108403,0.849,0.722,1.044,0.785,0.971,0.841,0.971
0417108404,0.842,0.722,1.044,0.785,0.961,0.834,0.961
0417108405,0.842,0.722,1.024,0.785,0.961,0.834,0.961
0417108406,0.817,0.707,1.054,0.785,0.933,0.81,0.933
0417108407,0.817,0.729,1.054,0.785,0.933,0.81,0.933
0417108408,0.808,0.729,1.046,0.785,0.924,0.801,0.924
0417108409,0.808,0.744,1.046,0.785,0.924,0.801,0.924
0417108410,0.808,0.736,1.1,0.785,0.924,0.801,0.924
0417108411,0.8,0.775,1.102,0.762,0.914,0.793,0.914
0417108412,0.794,0.783,1.142,0.762,0.908,0.787,0.908
0417108413,0.794,0.761,1.142,0.762,0.908,0.787,0.908
0417108414,0.787,0.76,1.179,0.762,0.899,0.78,0.899
0417108415,0.787,0.767,1.191,0.754,0.899,0.78,0.899
0417108416,0.779,0.767,1.191,0.746,0.89,0.772,0.89
0417108417,0.779,0.783,1.228,0.746,0.89,0.772,0.89
0417108418,0.779,0.783,1.228,0.746,0.89,0.772,0.89
0417108419,0.761,0.807,1.241,0.746,0.869,0.754,0.869
0417108420,0.777,0.815,1.241,0.739,0.869,0.754,0.869
0417108421,0.777,0.791,1.252,0.739,0.869,0.754,0.869
0417108422,0.769,0.783,1.265,0.739,0.861,0.746,0.861
0417108423,0.769,0.783,1.278,0.739,0.861,0.746,0.861
0417108424,0.761,0.807,1.304,0.732,0.852,0.739,0.852
