"Low UWMarketDiscount","High UWMarketDiscount",Territory,"TerritoryDescription",BI,PD,CSL,PIP Medical,PIP Wage,"AttendantCare",UM/UIM BI,UM/UIM CSL,COMPO,COMPA,COMPG,COMPC,Limited COLL,Basic COLL,Broad COLL,OLTE,ACE,"ExcessElectronicEquipment","Coll AutoLoan /Lease",Mini Tort,PPI,MCCA,"Other StateAssessments","RoadsideAssistance"
0000001,0059999,997,eptable Out o,8.000,8.000,8.000,8.000,8.000,1.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,1.000,1.000,1.000,1.000,8.000,8.000,1.000,1.000,1.000
0060000,0099999,997,eptable Out o,8.000,8.000,8.000,8.000,8.000,1.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,8.000,1.000,1.000,8.000,8.000,8.000,1.000,1.000,8.000
0000001,0059999,998,ut of State- Lo,2.000,2.000,2.000,2.000,2.000,1.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.000,1.000,1.000,1.000,2.000,2.000,1.000,1.000,1.000
0060000,0099999,998,ut of State- Lo,2.000,2.000,2.000,2.000,2.000,1.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.000,1.000,2.000,2.000,2.000,1.000,1.000,2.000
0000001,0059999,999,ut of State- Hi,3.000,3.000,3.000,3.000,3.000,1.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,1.000,1.000,1.000,1.000,3.000,3.000,1.000,1.000,1.000
0060000,0099999,999,ut of State- Hi,3.000,3.000,3.000,3.000,3.000,1.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,1.000,1.000,3.000,3.000,3.000,1.000,1.000,3.000
0000001,0059999,AAA,,0.930,1.030,0.930,0.670,0.560,1.000,0.580,0.580,0.610,0.610,0.610,0.610,0.730,0.730,0.730,1.000,1.000,1.000,1.000,0.930,0.900,1.000,1.000,1.000
0060000,0099999,AAA,,1.092,0.921,1.057,0.978,0.978,1.000,0.661,0.661,1.067,1.186,0.861,0.489,0.876,0.876,0.876,0.896,1.000,1.000,0.876,0.921,0.921,1.000,1.000,0.917
0000001,0059999,AAB,,1.040,0.840,1.040,1.130,1.230,1.000,1.020,1.020,1.600,1.600,1.600,1.600,0.870,0.870,0.870,1.000,1.000,1.000,1.000,0.700,0.770,1.000,1.000,1.000
0060000,0099999,AAB,,1.137,0.839,1.076,0.998,0.998,1.000,0.670,0.670,1.126,1.183,1.000,0.518,0.891,0.891,0.891,0.989,1.000,1.000,0.891,0.839,0.839,1.000,1.000,0.862
