low_uw_market_discount,high_uw_market_discount,geography_factor_id,rate_bi,rate_pd,rate_csl,rate_pip_medical,rate_pip_wage,rate_attendant_care,rate_um_uim_bi,rate_um_uim_csl,rate_compo,rate_compa,rate_compg,rate_compc,rate_limited_coll,rate_basic_coll,rate_broad_coll,rate_olte,rate_ace,rate_excess_electronic_equipment,rate_coll_auto_loan_lease,rate_mini_tort,rate_ppi,rate_mcca,rate_other_state_assessments,rate_roadside_assistance,uw_market_discount_code,rate_um_uim,rate_coll,rate_comp,rate_pip,generic_location_based_premium,location_effect,company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,longitude,block_group_fips,tract_fips,county_fips,zip,place_name_fips,latitude,census_block_group,territory
0000001,0059999,AAA,345.03000000000003,22.66,590.5500000000001,862.96,206.64000000000001,13.0,33.64,92.8,172.63,582.55,129.32,25.009999999999998,559.18,1151.21,1270.93,161.0,8.0,8.0,7.0,184.14000000000001,69.3,37.0,29.0,296.0,0000001-0059999,126.44,2988.3199999999997,909.5099999999999,1069.6000000000001,23902.84,0.74,Citizen,Auto,zip,Territorial Base Rate,Garaging territory,Census block,,,,,,,,261476460001,AAA
0060000,0099999,AAA,405.132,20.262,671.1949999999999,1259.664,360.882,13.0,38.338,105.76,301.961,1132.6299999999999,182.532,20.049,671.016,1381.452,1525.116,144.256,8.0,8.0,6.132,182.358,70.917,37.0,29.0,271.432,0060000-0099999,144.098,3583.716,1637.1719999999998,1620.546,31663.24,0.98,Citizen,Auto,zip,Territorial Base Rate,Garaging territory,Census block,,,,,,,,261476460001,AAA
0000001,0059999,AAB,385.84000000000003,18.48,660.4,1455.4399999999998,453.87,13.0,59.160000000000004,163.2,452.8,1528.0,339.20000000000005,65.60000000000001,666.42,1371.99,1514.67,161.0,8.0,8.0,7.0,138.6,59.29,37.0,29.0,296.0,0000001-0059999,222.35999999999999,3560.08,2385.6,1909.31,35938.62,1.11,Citizen,Auto,zip,Territorial Base Rate,Garaging territory,Census block,,,,,,,,261476572003,AAB
0060000,0099999,AAB,421.827,18.458,683.26,1285.424,368.262,13.0,38.86,107.2,318.65799999999996,1129.765,212.0,21.238,682.506,1405.107,1551.231,159.22899999999998,8.0,8.0,6.237,166.12199999999999,64.603,37.0,29.0,255.152,0060000-0099999,146.06,3645.081,1681.661,1653.686,32233.26,1.0,Citizen,Auto,zip,Territorial Base Rate,Garaging territory,Census block,,,,,,,,261476572003,AAB
0000001,0059999,AAC,319.06,18.48,546.1,1210.72,343.17,13.0,38.86,107.2,348.09,1174.65,260.76,50.43,597.48,1230.06,1357.98,161.0,8.0,8.0,7.0,142.56,58.52,37.0,29.0,296.0,0000001-0059999,146.06,3192.52,1833.93,1553.89,30179.04,0.93,Citizen,Auto,zip,Territorial Base Rate,Garaging territory,Census block,,,,,,,,260873400001,AAC
0060000,0099999,AAC,477.106,18.7,760.095,1326.64,380.07,13.0,39.150000000000006,108.0,275.359,1184.2,227.052,21.074,735.36,1513.9199999999998,1671.36,158.102,8.0,8.0,6.72,168.29999999999998,65.45,37.0,29.0,263.44,0060000-0099999,147.15,3927.3599999999997,1707.685,1706.71,33968.0,1.05,Citizen,Auto,zip,Territorial Base Rate,Garaging territory,Census block,,,,,,,,260873400001,AAC
0000001,0059999,AAD,511.97999999999996,18.04,876.3,1442.5600000000002,446.49,13.0,59.74,164.8,249.04,840.4,186.56,36.08,658.76,1356.22,1497.26,161.0,8.0,8.0,7.0,217.8,58.52,37.0,29.0,296.0,0000001-0059999,224.54000000000002,3519.24,1312.08,1889.0500000000002,32248.92,1.0,Citizen,Auto,zip,Territorial Base Rate,Garaging territory,Census block,,,,,,,,260992120001,AAD
0060000,0099999,AAD,414.407,18.612,674.37,1389.752,398.151,13.0,45.53,125.60000000000001,320.073,848.995,214.33199999999997,28.781999999999996,746.85,1537.575,1697.475,157.941,8.0,8.0,6.825,167.50799999999998,65.142,37.0,29.0,264.032,0060000-0099999,171.13,3988.725,1412.1819999999998,1787.903,33153.78,1.03,Citizen,Auto,zip,Territorial Base Rate,Garaging territory,Census block,,,,,,,,260992120001,AAD
0000001,0059999,AAE,345.03000000000003,19.14,590.5500000000001,1468.32,391.14000000000004,13.0,51.62,142.4,393.36999999999995,1327.4499999999998,294.68,56.989999999999995,635.78,1308.9099999999999,1445.03,161.0,8.0,8.0,7.0,148.5,58.52,37.0,29.0,296.0,0000001-0059999,194.02,3396.72,2072.49,1859.46,33518.24,1.04,Citizen,Auto,zip,Territorial Base Rate,Garaging territory,Census block,,,,,,,,261476521001,AAE
0060000,0099999,AAE,393.631,18.15,642.62,1405.2079999999999,402.579,13.0,42.572,117.44,322.054,1087.7450000000001,192.284,22.96,704.72,1450.8400000000001,1601.72,158.585,8.0,8.0,6.44,163.35,63.525,37.0,29.0,254.264,0060000-0099999,160.012,3763.7200000000003,1625.0430000000001,1807.7869999999998,33004.5,1.02,Citizen,Auto,zip,Territorial Base Rate,Garaging territory,Census block,,,,,,,,261476521001,AAE
