,Unnamed: 0,territory_code,location_names
0,0,1,Addison Township
1,1,1,Buckley
2,2,1,Copemish
3,3,1,Lakeville
4,4,1,Manton
5,5,1,Morley
6,6,2,Adrian
7,7,2,Berrien Springs
8,8,2,Niles
9,9,2,Sodus
10,10,2,Weston
11,11,3,Alabaster
12,12,3,Au Gres
13,13,3,Greenbush
14,14,3,Omer
15,15,3,Osseo
16,16,3,Standish
17,17,3,Unionville
18,18,3,Vandalia
19,19,4,Algonac
20,20,4,Harsens Island
21,21,4,Marysville
22,22,5,Allenton
23,23,5,Center Line
24,24,6,Almont
25,25,6,Baldwin
26,26,6,Branch
27,27,6,Grant
28,28,7,Ann Arbor
29,29,7,Essexville
30,30,7,Linwood
31,31,8,Armada
32,32,9,Amasa
33,33,9,Arnold
34,34,9,Bruce Crossing
35,35,9,Gaastra
36,36,10,Ash Twp
37,37,10,Otisville
38,38,11,Attica
39,39,11,Dryden
40,40,11,Fostoria
41,41,11,Hadley
42,42,11,Metamora
43,43,11,Otter Lake
44,44,12,Au Sable
45,45,12,Bay Port
46,46,12,Higgins Lake
47,47,12,Houghton Lake
48,48,12,Houghton Lake Heights
49,49,12,Lewiston
50,50,12,Prudenville
51,51,12,Roscommon
52,52,13,Auburn Hills
53,53,14,Augusta Twp
54,54,14,Bridgeport
55,55,14,Frankenmuth
56,56,14,Linden
57,57,14,Petersburg
58,58,14,Whittaker
59,59,15,Avoca
60,60,15,Brown City
61,61,15,Clifford
62,62,16,Azalia
63,63,16,Maybee
64,64,17,Baraga
65,65,17,Bergland
66,66,17,Crystal Falls
67,67,17,Ewen
68,68,17,Rockland
69,69,17,Watersmeet
70,70,18,Bark River
71,71,18,Carney
72,72,18,Harris
73,73,18,Nadeau
74,74,18,Perronville
75,75,18,Powers
76,76,18,Wilson
77,77,19,Augusta
78,78,19,Battle Creek
79,79,19,Douglas
80,80,19,Fennville
81,81,19,Glenn
82,82,19,Indian River
83,83,19,Three Oaks
84,84,19,Topinabee
85,85,20,Bay City
86,86,20,Benton Harbor
87,87,20,Dimondale
88,88,20,Eagle
89,89,20,Kawkawlin
90,90,20,Midland
91,91,20,Sanford
