territory_code,location_names
1,"Addison Township, Buckley, Copemish, Lakeville, Manton, Morley"
2,"Adrian, Berrien Springs, Niles, Sodus, Weston"
3,"Alabaster, Au Gres, Greenbush, Omer, Osseo, Standish, Unionville, Vandalia"
4,"Algonac, Harsens Island, Marysville"
5,"Allenton, Center Line"
6,"Almont, Baldwin, Branch, Grant"
7,"Ann Arbor, Essexville, Linwood"
8,Armada
9,"Amasa, Arnold, Bruce Crossing, Gaastra"
10,"Ash Twp, Otisville"
11,"Attica, Dryden, Fostoria, Hadley, Metamora, Otter Lake"
12,"Au Sable, Bay Port, Higgins Lake, Houghton Lake, Houghton Lake Heights, Lewiston, Prudenville, Roscommon"
13,Auburn Hills
14,"Augusta Twp, Bridgeport, Frankenmuth, Linden, Petersburg, Whittaker"
15,"Avoca, Brown City, Clifford"
16,"Azalia, Maybee"
17,"Baraga, Bergland, Crystal Falls, Ewen, Rockland, Watersmeet"
18,"Bark River, Carney, Harris, Nadeau, Perronville, Powers, Wilson"
19,"Augusta, Battle Creek, Douglas, Fennville, Glenn, Indian River, Three Oaks, Topinabee"
20,"Bay City, Benton Harbor, Dimondale, Eagle, Kawkawlin, Midland, Sanford, Schoolcraft"
21,"Bay Harbor, Boyne City, Chassell, Conway, Hopkins, Lawton, Martin, Shelbyville, Spring Arbor, Walloon Lake, Williamston"
22,"Bay Shore, Brutus, Clarklake, Decatur, Kewadin, Levering, Mackinaw City, New Lothrop, Pellston, Shepherd, Skandia"
23,"Bear Lake, Brethren, Cedarville, De Tour Village, Drummond Island, Harrietta, Lyons, Mesick, Sheridan, Sidney, White Cloud"
24,"Beechwood, Caspian, Stambaugh"
25,"Belding, Champion, Cloverdale, Delton, Dowling"
26,"Belleville, Wixom"
27,"Beaverton, Bentley, Big Bay, Comins, Elkton, Michigamme"
28,"Beverly Hills, Clio, Pleasant Ridge"
29,"Bham, Goodrich, Hartland"
30,"Blanchard, Crystal, Evart, Hale, Lincoln, Long Lake, Lupton, Wallace, Whittemore"
31,Bloomfield
32,Bloomfield Hills
33,Bloomfield Township
34,"Bloomfield Village, Troy"
35,"Bois Blanc Island, Mackinac Island"
36,"Allendale, Borculo, Byron Center"
37,"Brampton, Escanaba, Jonesville, Mosherville, Wells"
38,"Brandon, Mount Morris"
39,"Bridgewater, Bridgman, Galesburg, Holt, Lansing, Mattawan"
40,"Auburn, Brighton, Riga"
41,"Brighton Twp, Munger, Saginaw"
42,"Brimley, Cheboygan, Dexter, Lawrence, Mullett Lake, Plainwell, Richland, South Haven, Three Rivers, Vernon, Vicksburg"
43,"Blissfield, Britton, Deerfield, Union Pier"
44,"Brockway, Croswell, Sandusky"
45,"Brownstown, Burt"
46,Brownstown Township
47,Bruce
48,"Bailey, Brunswick, Casnovia, Kent City, Pierson, Sand Lake"
49,"Bangor, Buchanan, Hemlock, Lennon, Merrill"
50,"Burtchville, La Salle, Ottawa Lake"
51,"Burton, Huntington Woods"
52,"Alma, Cadillac, Grass Lake, Gulliver, Ionia, Marcellus, Mc Millan, Newberry, Pleasant Lake, Portland, Seney, Shingleton, Trout Lake"
53,"Au Train, Bradley, Caledonia, Moline, Ravenna, Rockford, Wayland"
54,"Calumet, Ishpeming, Laingsburg, Perry, Shaftsburg"
55,"Big Rapids, Canadian Lakes, Chippewa Lake, Gowen, Hart, Leroy, National City, Rodney"
56,"Canton, Plymouth"
57,"Canton Twp, White Lake"
58,"Capac, Emmett"
59,"Bellevue, Beulah, Carland, Clarksville, Concord, Dansville, Elberta, Frankfort, Hastings, Woodland"
60,Cascade
61,"Casco, Imlay City"
62,"Caseville, Fife Lake, Filion, Gaines, North Branch, Shelby"
63,"Cedar River, Daggett, Hermansville"
64,"Cement City, Engadine, Lachine, Lake Odessa, Posen, Presque Isle, Rosebush"
65,"Chatham, Decker, Fountain, Luther, Marion, Mecosta, Nahma, Rapid River, Reed City, Sears, Stanton, Turner, Ubly, Walhalla, Wetmore"
66,"Chesterfield, Garden City"
67,Chesterfield Township
68,"China, Lexington"
69,"Alden, Christmas, Conklin"
70,Clarkston
71,Clayton
72,Clyde
73,Columbus
74,Commerce
75,Commerce Township
76,"Bellaire, Copper Harbor, Lowell, Ludington, Onekama, Onsted"
77,"Cornell, Lanse"
78,Cottrellville
79,"Croton, Hesperia, Kingston, Melvin, Silverwood"
80,Cutlerville
81,"Davisburg, Fenton, Holly, Howell, Reese"
