company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,geography_factor_id,latitude,longitude,county_fips,tract_fips,block_group_fips,zip,place_name_fips,rate_bi,rate_pd_lpd_ppi,rate_comp,rate_coll,rate_loan,rate_me_wl_acr,rate_um_uim,rate_rent,rate_tow,rate_acpe,rate_comp_trlr,rate_coll_trlr
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,1,,,,,,,1,66,31,250,487,23,692,26,30,6,7,75,68
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,2,,,,,,,2,77,78,170,319,16,647,25,20,4,5,51,45
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,3,,,,,,,3,74,37,333,319,31,449,17,20,4,10,100,45
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,4,,,,,,,4,91,33,86,349,8,586,22,22,4,2,26,49
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,5,,,,,,,5,91,33,171,535,16,883,34,33,6,5,51,75
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,6,,,,,,,6,76,31,357,431,34,540,20,27,5,10,108,61
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,7,,,,,,,7,65,44,110,366,10,548,21,23,4,3,33,51
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,8,,,,,,,8,80,40,161,392,15,708,27,24,4,4,48,55
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,9,,,,,,,9,62,39,510,427,48,472,18,27,5,15,154,60
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,10,,,,,,,10,82,36,192,479,18,586,22,30,6,5,58,67
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,11,,,,,,,11,85,31,229,384,21,867,33,24,4,6,69,54
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,12,,,,,,,12,68,33,246,366,23,700,27,23,4,7,74,51
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,13,,,,,,,13,75,30,108,392,10,654,25,24,4,3,32,55
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,14,,,,,,,14,76,36,153,341,14,921,35,21,4,4,46,48
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,15,,,,,,,15,84,34,340,353,32,677,26,22,4,10,102,50
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,16,,,,,,,16,80,32,124,349,11,791,30,22,4,3,37,49
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,17,,,,,,,17,58,40,432,289,41,380,14,18,3,13,130,40
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,18,,,,,,,18,64,42,604,366,57,395,15,23,4,18,182,51
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,19,,,,,,,19,53,31,165,427,15,708,27,27,5,5,49,60
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,20,,,,,,,20,58,30,144,349,13,456,17,22,4,4,43,49
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,21,,,,,,,21,54,32,238,345,22,433,16,21,4,7,72,48
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,22,,,,,,,22,61,33,246,319,23,555,21,20,4,7,74,45
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,23,,,,,,,23,66,30,342,392,32,738,28,24,4,10,103,55
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,24,,,,,,,24,68,48,571,297,54,357,13,18,3,17,172,42
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,25,,,,,,,25,55,31,350,341,33,601,23,21,4,10,106,48
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,26,,,,,,,26,74,37,134,457,12,791,30,29,5,4,40,64
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,27,,,,,,,27,63,34,284,323,27,814,31,20,4,8,85,45
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,28,,,,,,,28,83,34,108,379,10,708,27,24,4,3,32,53
Progressive,Auto,zip,Vehicle Garaging Location Factor,Territory Code,place_name,29,,,,,,,29,86,33,124,431,11,510,19,27,5,3,37,61
