Territory Code,BI,PD/LPD/PPI,COMP,COLL,LOAN,ME/WL/ACR,UM/UIM,RENT,TOW,ACPE,COMP-TRLR,COLL-TRLR
1,0.9,0.88,1.47,1.13,1.47,0.91,0.91,1.13,1.13,1.47,1.47,1.13
2,1.06,2.23,1.0,0.74,1.0,0.85,0.85,0.74,0.74,1.0,1.0,0.74
3,1.01,1.05,1.96,0.74,1.96,0.59,0.59,0.74,0.74,1.96,1.96,0.74
4,1.24,0.95,0.51,0.81,0.51,0.77,0.77,0.81,0.81,0.51,0.51,0.81
5,1.24,0.96,1.01,1.24,1.01,1.16,1.16,1.24,1.24,1.01,1.01,1.24
6,1.04,0.9,2.1,1.0,2.1,0.71,0.71,1.0,1.0,2.1,2.1,1.0
7,0.89,1.27,0.65,0.85,0.65,0.72,0.72,0.85,0.85,0.65,0.65,0.85
8,1.1,1.15,0.95,0.91,0.95,0.93,0.93,0.91,0.91,0.95,0.95,0.91
9,0.85,1.11,3.0,0.99,3.0,0.62,0.62,0.99,0.99,3.0,3.0,0.99
10,1.12,1.02,1.13,1.11,1.13,0.77,0.77,1.11,1.11,1.13,1.13,1.11
11,1.17,0.89,1.35,0.89,1.35,1.14,1.14,0.89,0.89,1.35,1.35,0.89
12,0.93,0.94,1.45,0.85,1.45,0.92,0.92,0.85,0.85,1.45,1.45,0.85
13,1.03,0.87,0.64,0.91,0.64,0.86,0.86,0.91,0.91,0.64,0.64,0.91
14,1.04,1.03,0.9,0.79,0.9,1.21,1.21,0.79,0.79,0.9,0.9,0.79
15,1.15,0.97,2.0,0.82,2.0,0.89,0.89,0.82,0.82,2.0,2.0,0.82
16,1.09,0.92,0.73,0.81,0.73,1.04,1.04,0.81,0.81,0.73,0.73,0.81
17,0.79,1.15,2.54,0.67,2.54,0.5,0.5,0.67,0.67,2.54,2.54,0.67
18,0.88,1.19,3.55,0.85,3.55,0.52,0.52,0.85,0.85,3.55,3.55,0.85
19,0.73,0.89,0.97,0.99,0.97,0.93,0.93,0.99,0.99,0.97,0.97,0.99
20,0.79,0.87,0.85,0.81,0.85,0.6,0.6,0.81,0.81,0.85,0.85,0.81
21,0.74,0.91,1.4,0.8,1.4,0.57,0.57,0.8,0.8,1.4,1.4,0.8
22,0.84,0.96,1.45,0.74,1.45,0.73,0.73,0.74,0.74,1.45,1.45,0.74
23,0.9,0.86,2.01,0.91,2.01,0.97,0.97,0.91,0.91,2.01,2.01,0.91
24,0.93,1.38,3.36,0.69,3.36,0.47,0.47,0.69,0.69,3.36,3.36,0.69
25,0.75,0.9,2.06,0.79,2.06,0.79,0.79,0.79,0.79,2.06,2.06,0.79
26,1.02,1.05,0.79,1.06,0.79,1.04,1.04,1.06,1.06,0.79,0.79,1.06
27,0.87,0.97,1.67,0.75,1.67,1.07,1.07,0.75,0.75,1.67,1.67,0.75
28,1.14,0.99,0.64,0.88,0.64,0.93,0.93,0.88,0.88,0.64,0.64,0.88
29,1.18,0.94,0.73,1.0,0.73,0.67,0.67,1.0,1.0,0.73,0.73,1.0
30,0.96,0.9,2.98,0.68,2.98,0.57,0.57,0.68,0.68,2.98,2.98,0.68
31,1.17,1.58,0.44,1.19,0.44,1.34,1.34,1.19,1.19,0.44,0.44,1.19
32,1.18,1.6,0.77,0.98,0.77,1.16,1.16,0.98,0.98,0.77,0.77,0.98
33,1.17,1.55,0.68,1.1,0.68,0.86,0.86,1.1,1.1,0.68,0.68,1.1
34,1.18,1.0,0.54,0.97,0.54,0.99,0.99,0.97,0.97,0.54,0.54,0.97
35,0.81,0.9,0.72,0.5,0.72,0.68,0.68,0.5,0.5,0.72,0.72,0.5
36,0.68,0.72,0.8,1.01,0.8,0.78,0.78,1.01,1.01,0.8,0.8,1.01
37,0.76,1.13,1.74,0.72,1.74,0.8,0.8,0.72,0.72,1.74,1.74,0.72
38,1.22,0.86,0.87,1.05,0.87,0.98,0.98,1.05,1.05,0.87,0.87,1.05
39,0.8,0.87,0.82,1.05,0.82,0.64,0.64,1.05,1.05,0.82,0.82,1.05
40,0.93,0.91,0.76,0.73,0.76,0.69,0.69,0.73,0.73,0.76,0.76,0.73
41,0.93,0.86,0.69,1.03,0.69,0.68,0.68,1.03,1.03,0.69,0.69,1.03
42,0.81,1.08,1.24,0.82,1.24,0.71,0.71,0.82,0.82,1.24,1.24,0.82
43,1.03,1.26,0.95,0.93,0.95,0.62,0.62,0.93,0.93,0.95,0.95,0.93
44,1.24,0.98,2.07,0.7,2.07,0.83,0.83,0.7,0.7,2.07,2.07,0.7
45,1.17,1.0,0.65,0.89,0.65,1.42,1.42,0.89,0.89,0.65,0.65,0.89
46,1.16,0.97,0.51,1.1,0.51,1.63,1.63,1.1,1.1,0.51,0.51,1.1
47,1.08,1.13,1.14,1.16,1.14,0.74,0.74,1.16,1.16,1.14,1.14,1.16
48,0.86,0.89,1.69,0.85,1.69,0.96,0.96,0.85,0.85,1.69,1.69,0.85
49,0.94,1.2,1.14,0.9,1.14,0.67,0.67,0.9,0.9,1.14,1.14,0.9
50,1.22,1.93,0.46,1.02,0.46,1.24,1.24,1.02,1.02,0.46,0.46,1.02
51,1.22,1.01,0.59,0.95,0.59,0.79,0.79,0.95,0.95,0.59,0.59,0.95
52,0.78,0.91,1.41,0.78,1.41,0.59,0.59,0.78,0.78,1.41,1.41,0.78
53,0.82,0.87,1.14,1.03,1.14,0.71,0.71,1.03,1.03,1.14,1.14,1.03
54,0.69,0.99,1.67,0.71,1.67,0.78,0.78,0.71,0.71,1.67,1.67,0.71
55,0.99,0.94,1.97,0.82,1.97,0.7,0.7,0.82,0.82,1.97,1.97,0.82
56,1.03,0.88,0.74,0.93,0.74,1.05,1.05,0.93,0.93,0.74,0.74,0.93
57,1.06,0.89,0.66,0.92,0.66,0.86,0.86,0.92,0.92,0.66,0.66,0.92
58,1.13,1.04,1.55,0.81,1.55,0.91,0.91,0.81,0.81,1.55,1.55,0.81
59,0.81,0.85,1.94,0.83,1.94,0.69,0.69,0.83,0.83,1.94,1.94,0.83
60,0.72,1.18,0.66,0.85,0.66,0.38,0.38,0.85,0.85,0.66,0.66,0.85
61,1.16,0.99,1.32,0.82,1.32,1.04,1.04,0.82,0.82,1.32,1.32,0.82
62,0.97,0.9,1.25,0.86,1.25,1.1,1.1,0.86,0.86,1.25,1.25,0.86
63,0.99,1.05,4.27,0.61,4.27,0.54,0.54,0.61,0.61,4.27,4.27,0.61
64,0.84,0.82,2.05,0.73,2.05,0.64,0.64,0.73,0.73,2.05,2.05,0.73
65,0.94,0.92,2.68,0.94,2.68,0.62,0.62,0.94,0.94,2.68,2.68,0.94
66,1.24,0.86,0.56,1.16,0.56,1.31,1.31,1.16,1.16,0.56,0.56,1.16
67,1.27,0.84,0.43,1.3,0.43,1.59,1.59,1.3,1.3,0.43,0.43,1.3
68,1.31,1.02,1.23,0.9,1.23,0.85,0.85,0.9,0.9,1.23,1.23,0.9
69,0.86,0.95,1.35,0.98,1.35,0.57,0.57,0.98,0.98,1.35,1.35,0.98
70,1.07,0.99,0.64,0.99,0.64,0.95,0.95,0.99,0.99,0.64,0.64,0.99
71,1.07,1.21,1.72,0.71,1.72,0.54,0.54,0.71,0.71,1.72,1.72,0.71
72,1.18,0.98,0.97,0.87,0.97,0.8,0.8,0.87,0.87,0.97,0.97,0.87
73,1.46,1.16,1.15,0.8,1.15,1.03,1.03,0.8,0.8,1.15,1.15,0.8
74,1.3,0.84,0.86,0.99,0.86,1.13,1.13,0.99,0.99,0.86,0.86,0.99
75,1.13,1.29,0.5,0.94,0.5,1.15,1.15,0.94,0.94,0.5,0.5,0.94
76,0.9,0.97,1.47,0.77,1.47,0.55,0.55,0.77,0.77,1.47,1.47,0.77
77,0.72,1.06,3.2,1.0,3.2,0.57,0.57,1.0,1.0,3.2,3.2,1.0
78,1.22,1.1,1.0,0.94,1.0,1.37,1.37,0.94,0.94,1.0,1.0,0.94
79,1.11,0.89,2.22,0.95,2.22,0.85,0.85,0.95,0.95,2.22,2.22,0.95
80,0.75,0.94,0.74,1.3,0.74,0.53,0.53,1.3,1.3,0.74,0.74,1.3
81,0.95,0.89,0.77,0.88,0.77,0.84,0.84,0.88,0.88,0.77,0.77,0.88
82,1.39,0.97,1.19,1.26,1.19,2.18,2.18,1.26,1.26,1.19,1.19,1.26
83,1.68,1.31,2.25,1.63,2.25,2.91,2.91,1.63,1.63,2.25,2.25,1.63
84,0.9,0.87,0.78,0.77,0.78,1.18,1.18,0.77,0.77,0.78,0.78,0.77
