geography_factor_id,rate_bodily_injury,rate_property_damage,rate_pip,rate_collision,rate_comprehensive,rate_um_uim,generic_location_based_premium,weighted_mean,location_effect,company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,tract_fips,latitude,place_name_fips,longitude,county_fips,block_group_fips,zip,territory,zip_code
8001,442.38,165.41,6709.55,967.49,104.23,58.91,8447.97,3324.0,1.0159628681570634,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8001,48001
8002,527.19,139.7,6845.72,866.26,107.1,58.19,8544.160000000002,3368.0,1.0275307913727034,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8002,48002
8003,527.19,139.7,6845.72,866.26,107.1,58.19,8544.160000000002,3368.0,1.0275307913727034,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8003,48003
8004,488.94,165.41,6709.55,1055.18,104.23,58.91,8582.22,3353.0,1.0321079320067321,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8004,48004
8005,501.11,150.35,7173.95,957.45,107.1,64.28999999999999,8954.250000000002,3535.0,1.0768487000066747,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8005,48005
8006,667.55,133.07,8790.33,904.17,126.56,71.93,10693.61,4264.0,1.2860261916830973,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8006,48006
8009,533.25,175.0,3920.41,889.42,73.83,60.42,5652.33,2070.0,0.6797558938502639,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8009,48009
8014,480.48,139.7,6845.72,866.26,107.1,58.19,8497.45,3361.0,1.0219133915036678,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8014,48014
8015,563.26,167.67,8085.09,1092.42,95.82,52.78,10057.04,3985.0,1.2094715302694392,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8015,48015
8017,535.44,162.17,5798.66,1039.59,86.37,52.78,7675.009999999999,2948.0,0.9230057839616077,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8017,48017
8021,624.5,181.85,9088.16,1132.82,153.19,125.37,11305.890000000001,4458.0,1.3596597089559106,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8021,48021
8022,667.55,133.07,8790.33,904.17,126.56,71.93,10693.61,4264.0,1.2860261916830973,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8022,48022
8023,488.94,165.41,6709.55,1055.18,104.23,58.91,8582.22,3353.0,1.0321079320067321,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8023,48023
8025,542.03,170.24,5566.3,936.42,82.03,60.42,7357.44,2817.0,0.8848144400007936,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8025,48025
8026,563.26,159.12,7986.41,1092.42,95.82,52.78,9949.81,3941.0,1.1965759235908544,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8026,48026
8027,667.55,144.46,8790.33,904.17,126.56,71.93,10705.0,4265.0,1.2873959665601753,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8027,48027
8028,442.38,165.41,6709.55,967.49,104.23,58.91,8447.97,3324.0,1.0159628681570634,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8028,48028
8030,563.26,167.67,8085.09,1094.09,105.9,52.78,10068.79,3986.0,1.2108845991724828,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8030,48030
8032,667.55,133.07,8790.33,904.17,126.56,71.93,10693.61,4264.0,1.2860261916830973,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8032,48032
8033,709.93,201.05,14931.12,1571.93,303.04,388.04,18105.11,7212.0,2.177341951249724,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8033,48033
8034,709.93,201.05,14931.12,1571.93,303.04,388.04,18105.11,7212.0,2.177341951249724,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8034,48034
8035,514.95,179.89,7986.41,1055.18,108.9,58.91,9904.24,3926.0,1.19109562147071,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8035,48035
8036,514.95,175.35,8602.47,1092.42,108.9,58.91,10552.999999999998,4211.0,1.2691162667080362,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8036,48036
8038,501.11,175.35,7986.41,1125.63,108.9,58.91,9956.31,3943.0,1.1973576212819,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8038,48038
8039,442.38,150.35,6709.55,967.49,104.23,58.91,8432.91,3323.0,1.0141517347375029,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8039,48039
8040,480.48,144.46,6845.72,866.26,107.1,58.19,8502.210000000001,3362.0,1.0224858347358794,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8040,48040
8041,480.48,139.7,7173.95,866.26,107.1,64.28999999999999,8831.78,3508.0,1.0621203128955465,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8041,48041
8042,473.58,156.24,7986.41,1046.8,101.32,58.91,9823.259999999998,3917.0,1.1813568708521163,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,8042,48042
