TERRITORY,Bodily Injury(AA)20/40,"Property Damage(BB/BV)$100,000",PIP(VA-01),Collision(DD)$100 DED.,Comprehensive(HH)$50 DED.,UM(SS)20/40,UIM(SU)20/40,Unnamed: 0,Unnamed: 1
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
8001,442.38,165.41,"6,709.55",967.49,104.23,28.70,28.70,30.21,30.21
8002,527.19,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8003,527.19,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8004,488.94,165.41,"6,709.55",1055.18,104.23,28.70,28.70,30.21,30.21
8005,501.11,150.35,"7,173.95",957.45,107.10,30.99,30.99,33.30,33.30
8006,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8009,533.25,175.00,"3,920.41",889.42,73.83,30.21,30.21,30.21,30.21
8014,480.48,139.70,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8015,563.26,167.67,"8,085.09",1092.42,95.82,25.67,25.67,27.11,27.11
8017,535.44,162.17,"5,798.66",1039.59,86.37,25.67,25.67,27.11,27.11
8021,624.50,181.85,"9,088.16",1132.82,153.19,61.93,61.93,63.44,63.44
8022,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8023,488.94,165.41,"6,709.55",1055.18,104.23,28.70,28.70,30.21,30.21
8025,542.03,170.24,"5,566.30",936.42,82.03,30.21,30.21,30.21,30.21
8026,563.26,159.12,"7,986.41",1092.42,95.82,25.67,25.67,27.11,27.11
8027,667.55,144.46,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8028,442.38,165.41,"6,709.55",967.49,104.23,28.70,28.70,30.21,30.21
8030,563.26,167.67,"8,085.09",1094.09,105.90,25.67,25.67,27.11,27.11
8032,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8033,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8034,709.93,201.05,"14,931.12",1571.93,303.04,191.30,191.30,196.74,196.74
8035,514.95,179.89,"7,986.41",1055.18,108.90,28.70,28.70,30.21,30.21
8036,514.95,175.35,"8,602.47",1092.42,108.90,28.70,28.70,30.21,30.21
8038,501.11,175.35,"7,986.41",1125.63,108.90,28.70,28.70,30.21,30.21
8039,442.38,150.35,"6,709.55",967.49,104.23,28.70,28.70,30.21,30.21
8040,480.48,144.46,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8041,480.48,139.70,"7,173.95",866.26,107.10,30.99,30.99,33.30,33.30
8042,473.58,156.24,"7,986.41",1046.80,101.32,28.70,28.70,30.21,30.21
8043,514.95,175.35,"8,602.47",1092.42,108.90,28.70,28.70,30.21,30.21
8044,440.29,170.90,"7,986.41",1080.58,97.99,28.70,28.70,30.21,30.21
8045,514.95,175.35,"7,986.41",1055.18,108.90,28.70,28.70,30.21,30.21
8047,473.58,159.91,"7,986.41",1055.18,102.40,28.70,28.70,30.21,30.21
8048,465.91,166.23,"7,783.19",1018.43,108.90,28.70,28.70,30.21,30.21
8049,667.55,133.07,"8,790.33",904.17,126.56,35.53,35.53,36.40,36.40
8050,480.48,150.35,"7,173.95",866.26,96.90,30.99,30.99,33.30,33.30
8051,514.95,170.90,"7,986.41",1029.98,103.49,28.70,28.70,30.21,30.21
8054,480.48,150.35,"6,845.72",866.26,96.90,28.06,28.06,30.13,30.13
8059,667.55,133.07,"8,124.11",904.17,126.56,35.53,35.53,36.40,36.40
8060,480.48,144.46,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8062,480.48,150.35,"7,173.95",866.26,107.10,30.99,30.99,33.30,33.30
8063,480.48,144.46,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8064,442.38,150.35,"6,709.55",967.49,104.23,28.70,28.70,30.21,30.21
8065,501.11,149.52,"7,003.37",945.55,107.10,28.06,28.06,30.13,30.13
8066,514.95,181.85,"8,602.47",1092.42,108.90,28.70,28.70,30.21,30.21
8067,542.03,178.23,"5,478.46",936.42,82.03,30.21,30.21,30.21,30.21
8069,563.26,167.67,"8,085.09",1094.09,105.90,25.67,25.67,27.11,27.11
8070,563.26,167.67,"7,315.08",1094.09,105.90,25.67,25.67,27.11,27.11
8071,563.26,165.93,"7,315.08",989.90,95.82,25.67,25.67,27.11,27.11
8072,514.56,160.34,"3,852.13",889.42,77.05,30.21,30.21,30.21,30.21
8073,542.03,178.23,"5,478.46",936.42,82.03,30.21,30.21,30.21,30.21
8074,480.48,144.46,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8075,688.74,178.54,"13,532.26",1524.79,284.70,191.30,191.30,196.74,196.74
8076,597.04,181.98,"9,088.16",1374.26,201.72,174.25,174.25,178.54,178.54
8079,480.48,144.46,"6,845.72",866.26,107.10,28.06,28.06,30.13,30.13
8080,514.95,181.85,"8,602.47",1092.42,115.83,28.70,28.70,30.21,30.21
8081,514.95,181.85,"8,602.47",1055.18,108.90,28.70,28.70,30.21,30.21
8082,514.95,181.85,"8,602.47",1055.18,108.90,28.70,28.70,30.21,30.21
8083,484.56,150.74,"7,095.86",988.55,92.98,25.67,25.67,27.11,27.11
8084,563.26,167.67,"7,315.08",1094.09,95.82,25.67,25.67,27.11,27.11
8085,501.11,165.84,"7,173.95",988.55,93.89,25.67,25.67,27.11,27.11
8088,518.23,159.12,"7,761.77",1006.56,93.89,25.67,25.67,27.11,27.11
8089,690.24,181.85,"9,088.16",1132.82,153.19,61.93,61.93,63.44,63.44
8091,647.54,166.23,"9,088.16",1132.82,153.19,56.02,56.02,57.40,57.40
,,,,,SingleCar,Multi-Car,SingleCar,Multi-Car,
8092,563.26,159.12,"8,085.09",1094.09,95.82,25.67,25.67,27.11,27.11
8093,563.26,159.12,"8,085.09",1092.42,95.82,25.67,25.67,27.11,27.11
8094,501.11,166.23,"7,783.19",1122.45,108.90,28.70,28.70,30.21,30.21
8095,501.11,149.52,"7,003.37",957.45,96.90,30.99,30.99,33.30,33.30
