company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,geography_factor_id,latitude,longitude,county_fips,tract_fips,block_group_fips,zip,place_name_fips,"rate_$50,000_liability",rate_basic_pip,"rate_$1,000,000_ppi",rate_$50_deductible_comprehensive,rate_$200_deductible_collision,generic_location_based_premium,location_effect
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48001,,,,,,48001,,452,2330,106,712,2844,6444,1.0
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48002,,,,,,48002,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48003,,,,,,48003,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48004,,,,,,48004,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48005,,,,,,48005,,465,2111,131,828,3421,6956,1.08
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48006,,,,,,48006,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48007,,,,,,48007,,451,1837,116,687,3378,6469,1.0
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48009,,,,,,48009,,405,1670,110,744,3126,6055,0.94
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48012,,,,,,48012,,405,1670,110,744,3126,6055,0.94
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48014,,,,,,48014,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48015,,,,,,48015,,594,2710,150,1411,3731,8596,1.33
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48017,,,,,,48017,,405,1670,110,744,3126,6055,0.94
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48021,,,,,,48021,,418,2222,101,1651,3187,7579,1.18
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48022,,,,,,48022,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48023,,,,,,48023,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48025,,,,,,48025,,405,1670,110,744,3126,6055,0.94
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48026,,,,,,48026,,400,2190,104,721,3360,6775,1.05
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48027,,,,,,48027,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48028,,,,,,48028,,452,2330,106,712,2844,6444,1.0
