Territory,"$50,000Liability","BasicPIP","$1,000,000PPI","$50 DeductibleComprehensive","$200 DeductibleCollision"
007,288,1142,81,581,2609
011,351,1576,101,727,2601
012,443,1835,115,1105,2701
020,368,1380,94,818,2673
025,381,1570,110,1912,2100
027,352,1350,102,1073,2290
031,626,3435,153,1338,4557
032,474,2250,119,1033,3389
041,388,1405,117,674,3499
042,370,1270,101,595,2818
043,632,3387,147,1023,4291
045,324,1602,98,780,2667
048,331,1620,97,895,2494
049,352,1338,105,645,2498
051,404,1811,98,801,2943
058,371,1553,101,1218,2108
060,366,1775,95,1443,2528
068,483,2127,130,654,2817
072,426,1640,122,623,2064
092,418,2222,101,1651,3187
108,386,1840,97,1439,2454
113,594,2710,150,1411,3731
116,411,1828,110,753,2940
119,400,2190,104,721,3360
121,465,2111,131,828,3421
124,561,2630,128,1724,3610
125,405,1670,110,744,3126
127,451,1837,116,687,3378
130,507,1744,123,765,2955
132,452,2330,106,712,2844
133,473,2082,120,1040,3095
137,427,2058,104,1147,2483
140,616,2823,155,930,3485
141,478,2082,112,886,2550
145,466,1818,127,654,2613
147,434,2147,109,898,3021
148,359,1568,92,831,2540
153,330,1539,93,577,2353
154,532,2263,132,750,3692
156,337,1630,89,657,2320
161,308,1111,81,604,1750
164,302,1129,86,602,2320
165,318,1404,85,738,2360
169,317,1607,87,622,2771
173,421,1699,112,1081,2240
174,351,1650,103,1116,2326
185,419,1601,110,903,2492
187,349,1842,94,859,2604
190,455,1820,115,1411,2383
300,417,2145,106,690,3005
301,398,2055,99,993,2801
302,699,3825,171,2087,4085
303,437,2102,107,916,2879
304,484,2065,118,771,2840
305,507,2455,126,870,3080
306,775,3440,187,1778,4745
307,504,2430,124,969,3050
308,431,2185,106,824,3099
309,423,2140,110,828,2715
310,491,2162,120,770,3150
311,441,2072,110,824,2620
312,480,2530,119,1244,3115
313,519,2185,125,803,2805
314,453,1962,108,719,2770
315,406,2181,103,715,2785
316,419,1851,99,707,2790
317,446,2087,108,877,2795
318,388,1685,106,758,2775
319,405,1660,108,658,2910
320,465,1955,121,684,2595
321,437,2520,106,868,2845
322,437,2545,107,916,2935
323,483,2210,126,781,2610
324,437,2159,110,776,3000
325,443,2270,116,805,3405
326,447,2129,110,753,3210
327,386,1786,109,747,3035
328,471,1931,120,680,2605
329,525,2185,129,846,2765
330,567,2354,142,853,2950
331,859,5475,209,3519,5090
332,894,5299,226,3276,5040
333,764,4874,193,3655,5195
334,757,4675,203,3959,4895
335,718,4950,169,3461,4875
336,804,5101,203,3504,5525
337,803,5020,202,3137,4610
338,808,4801,199,3901,5730
341,810,5101,205,3678,5650
342,746,4784,184,3039,6030
343,756,5036,186,3813,5355
344,728,4835,173,2814,5035
346,753,4551,187,3717,4895
347,609,3620,148,2403,3640
348,562,3225,143,1786,3485
349,706,4340,160,2780,4655
350,684,4682,169,3026,5055
351,765,4775,190,2972,4605
352,824,2950,194,1963,3460
353,584,2350,138,1682,2820
354,798,5120,191,3911,4655
355,770,4755,196,3641,5100
356,690,4755,167,2859,4850
357,543,2845,139,1193,3590
358,493,2235,129,1441,2910
359,686,4675,175,3413,4905
360,673,4238,167,2961,4630
361,435,2029,121,1135,2660
362,818,5425,208,3536,5555
363,468,2290,115,1725,2695
364,371,2340,99,999,2635
500,357,1339,100,640,2451
501,378,1245,102,605,2619
502,364,1360,92,776,2410
503,346,1364,96,1122,2050
987,839,4490,200,4162,4823
988,318,1309,86,963,2189
991,788,4650,187,3785,5329
997,397,1465,101,948,3007
998,574,3001,142,1392,4446
